length_seconds,success,runtime_s,memory_mb,global_mos,frame_pred_file,timestamp_file
5.34,True,0.1821,559.7598,3.819903612136841,concat_5.34s_frame.npy,concat_5.34s_time.npy
12.0,True,0.0205,603.8223,3.1741766929626465,concat_12.0s_frame.npy,concat_12.0s_time.npy
18.88,True,0.0268,733.9546,3.148287057876587,concat_18.88s_frame.npy,concat_18.88s_time.npy
26.15,True,0.0328,870.9277,3.469571828842163,concat_26.15s_frame.npy,concat_26.15s_time.npy
34.71,True,0.0446,1032.1694,3.2133636474609375,concat_34.71s_frame.npy,concat_34.71s_time.npy
43.98,True,0.0568,1206.3496,3.232356309890747,concat_43.98s_frame.npy,concat_43.98s_time.npy
53.33,True,0.0723,1384.7124,3.3009250164031982,concat_53.33s_frame.npy,concat_53.33s_time.npy
62.71,True,0.0852,1560.3237,3.3266255855560303,concat_62.71s_frame.npy,concat_62.71s_time.npy
72.36,True,0.0989,1741.876,3.282611131668091,concat_72.36s_frame.npy,concat_72.36s_time.npy
82.51,True,0.1156,1933.3975,3.2139174938201904,concat_82.51s_frame.npy,concat_82.51s_time.npy
92.86,True,0.137,2128.5664,3.1540040969848633,concat_92.86s_frame.npy,concat_92.86s_time.npy
103.6,True,0.1683,2332.1855,3.1537203788757324,concat_103.6s_frame.npy,concat_103.6s_time.npy
115.36,True,0.1698,2554.0444,3.1281895637512207,concat_115.36s_frame.npy,concat_115.36s_time.npy
128.41,True,0.2254,2800.2817,3.1773009300231934,concat_128.41s_frame.npy,concat_128.41s_time.npy
141.71,True,0.2758,3050.813,3.279874086380005,concat_141.71s_frame.npy,concat_141.71s_time.npy
156.9,True,0.3164,3338.0376,3.2988884449005127,concat_156.9s_frame.npy,concat_156.9s_time.npy
172.81,True,0.3587,3637.9517,3.240370512008667,concat_172.81s_frame.npy,concat_172.81s_time.npy
189.02,True,0.4309,3944.8628,3.2697627544403076,concat_189.02s_frame.npy,concat_189.02s_time.npy
205.39,True,0.467,4253.2471,3.219320058822632,concat_205.39s_frame.npy,concat_205.39s_time.npy
222.17,True,0.5416,4569.8442,3.1955199241638184,concat_222.17s_frame.npy,concat_222.17s_time.npy
239.19,True,0.5234,4891.3374,3.179180383682251,concat_239.19s_frame.npy,concat_239.19s_time.npy
256.6,True,0.6904,5219.3906,3.183053970336914,concat_256.6s_frame.npy,concat_256.6s_time.npy
275.09,True,0.7744,5568.1675,3.1372549533843994,concat_275.09s_frame.npy,concat_275.09s_time.npy
294.04,True,0.8785,5925.5132,3.018937826156616,concat_294.04s_frame.npy,concat_294.04s_time.npy
313.68,True,0.9678,6297.5669,2.9826712608337402,concat_313.68s_frame.npy,concat_313.68s_time.npy
333.4,True,1.104,6668.3374,2.9210619926452637,concat_333.4s_frame.npy,concat_333.4s_time.npy
353.12,True,1.0067,7042.1382,2.8894059658050537,concat_353.12s_frame.npy,concat_353.12s_time.npy
373.75,True,1.097,7430.2925,2.8137879371643066,concat_373.75s_frame.npy,concat_373.75s_time.npy
394.79,True,1.4911,7827.2617,2.8249261379241943,concat_394.79s_frame.npy,concat_394.79s_time.npy
415.9,True,1.5928,8226.6392,2.749009132385254,concat_415.9s_frame.npy,concat_415.9s_time.npy
437.45,True,1.7936,8631.8281,2.7396512031555176,concat_437.45s_frame.npy,concat_437.45s_time.npy
460.16,True,1.5911,9060.8398,2.7257730960845947,concat_460.16s_frame.npy,concat_460.16s_time.npy
484.89,True,2.1591,9528.605,2.729905605316162,concat_484.89s_frame.npy,concat_484.89s_time.npy
509.69,True,2.3463,9997.4507,2.7333366870880127,concat_509.69s_frame.npy,concat_509.69s_time.npy
536.69,True,2.6104,10504.605,2.7439920902252197,concat_536.69s_frame.npy,concat_536.69s_time.npy
563.75,True,2.8394,11015.9512,2.7578086853027344,concat_563.75s_frame.npy,concat_563.75s_time.npy
591.0,True,3.1244,11529.6626,2.809342861175537,concat_591.0s_frame.npy,concat_591.0s_time.npy
618.35,True,3.4148,12046.3081,2.7685441970825195,concat_618.35s_frame.npy,concat_618.35s_time.npy
645.82,True,3.7266,12565.23,2.733015775680542,concat_645.82s_frame.npy,concat_645.82s_time.npy
675.28,True,4.0562,13121.7046,2.7508153915405273,concat_675.28s_frame.npy,concat_675.28s_time.npy
705.32,True,4.4487,13689.0425,2.7277376651763916,concat_705.32s_frame.npy,concat_705.32s_time.npy
736.23,True,4.8296,14271.2612,2.7499115467071533,concat_736.23s_frame.npy,concat_736.23s_time.npy
767.88,True,5.0872,14868.3218,2.665705442428589,concat_767.88s_frame.npy,concat_767.88s_time.npy
800.24,True,5.7042,15479.0742,2.47465443611145,concat_800.24s_frame.npy,concat_800.24s_time.npy
833.03,True,6.2071,16098.1069,2.447875499725342,concat_833.03s_frame.npy,concat_833.03s_time.npy
866.02,True,6.7222,16719.8062,2.441577196121216,concat_866.02s_frame.npy,concat_866.02s_time.npy
899.16,True,7.1842,17346.2744,2.49326229095459,concat_899.16s_frame.npy,concat_899.16s_time.npy
932.9,True,7.7857,17982.4854,2.514561176300049,concat_932.9s_frame.npy,concat_932.9s_time.npy
966.97,True,8.313,18628.4507,2.502713203430176,concat_966.97s_frame.npy,concat_966.97s_time.npy
1002.41,True,9.0045,19297.2007,2.452359199523926,concat_1002.41s_frame.npy,concat_1002.41s_time.npy
1038.2,True,9.9473,19970.4683,2.4231467247009277,concat_1038.2s_frame.npy,concat_1038.2s_time.npy
1074.08,True,8.114,20649.1382,2.4169068336486816,concat_1074.08s_frame.npy,concat_1074.08s_time.npy
1110.49,True,11.0462,21334.1831,2.3771958351135254,concat_1110.49s_frame.npy,concat_1110.49s_time.npy
1148.68,True,11.9537,22054.9512,2.398297071456909,concat_1148.68s_frame.npy,concat_1148.68s_time.npy
1188.47,True,9.7938,22805.7456,2.435560464859009,concat_1188.47s_frame.npy,concat_1188.47s_time.npy
1229.29,True,13.3816,23578.5742,2.4505813121795654,concat_1229.29s_frame.npy,concat_1229.29s_time.npy
1270.2,True,14.6786,24348.7925,2.4336049556732178,concat_1270.2s_frame.npy,concat_1270.2s_time.npy
