length_seconds,source,success,runtime_s,memory_mb,predicted_mos
5.34,real,True,1.3327,8.125,3.819903612136841
6.66,real,True,0.0205,0.0,3.910773277282715
6.88,real,True,0.0149,0.0,3.861365795135498
7.27,real,True,0.0159,0.0,4.653899192810059
8.56,real,True,0.0163,0.0,4.132091045379639
9.27,real,True,0.0169,0.0,3.677225112915039
9.35,real,True,0.017,0.0,4.34901237487793
9.38,real,True,0.0169,0.0,3.579049825668335
9.65,real,True,0.0173,0.0,4.432148456573486
10.15,real,True,0.0176,0.0,3.8265109062194824
10.35,real,True,0.0297,0.0,4.093140602111816
10.74,real,True,0.0182,0.0,4.332198619842529
11.76,real,True,0.0191,0.0,4.201971530914307
13.05,real,True,0.0199,0.0,4.627488613128662
13.3,real,True,0.0201,0.0,4.213829517364502
15.19,real,True,0.022,0.0,4.438165664672852
15.91,real,True,0.0237,0.0,3.4463694095611572
16.21,real,True,0.0236,0.0,4.533872604370117
16.37,real,True,0.0236,0.0,3.91660737991333
16.78,real,True,0.0241,0.0,4.06113862991333
17.02,real,True,0.0243,0.0,3.5208497047424316
17.41,real,True,0.0245,0.0,4.337847709655762
18.49,real,True,0.0256,0.0,3.8094940185546875
18.95,real,True,0.0258,0.0,3.7496867179870605
19.64,real,True,0.0266,0.0,4.224339485168457
19.72,real,True,0.0266,0.0,3.8397865295410156
19.72,real,True,0.0241,0.0,3.9023029804229736
20.63,real,True,0.0306,0.0,3.9372830390930176
21.04,real,True,0.0281,0.0,4.337906837463379
21.11,real,True,0.0276,0.0,4.033949851989746
21.55,real,True,0.0282,0.0,3.4745428562164307
22.71,real,True,0.0389,0.0,4.354715347290039
24.73,real,True,0.0308,0.0,4.359476089477539
24.8,real,True,0.0303,0.0,4.248311519622803
27.0,real,True,0.033,0.0,4.218936920166016
27.06,real,True,0.0328,0.0,4.181027412414551
27.25,real,True,0.0337,0.0,4.242058753967285
27.35,real,True,0.0328,0.0,4.430811405181885
27.47,real,True,0.0334,0.0,4.009552478790283
29.46,real,True,0.0374,0.0,4.70742130279541
30.04,real,True,0.0381,0.0,4.16294527053833
30.91,real,True,0.0387,0.0,4.410397529602051
31.65,real,True,0.0395,0.0,3.1741483211517334
32.36,real,True,0.0403,0.0,2.9668333530426025
32.79,real,True,0.041,0.0,3.3078255653381348
32.99,real,True,0.0409,0.0,3.345529794692993
33.14,real,True,0.0414,0.0,4.518416404724121
33.74,real,True,0.0421,0.0,4.6027350425720215
34.07,real,True,0.0421,0.0,3.793694496154785
35.44,real,True,0.0444,0.0,3.4868721961975098
35.79,real,True,0.0452,0.0,4.395627975463867
35.88,real,True,0.0445,0.0,3.9194602966308594
36.41,real,True,0.0448,0.0,3.7896575927734375
38.19,real,True,0.0467,0.0,4.317044258117676
39.79,real,True,0.0499,0.0,4.3267130851745605
40.82,real,True,0.0512,0.0,4.394600868225098
40.91,real,True,0.0512,0.0,4.164695739746094
41.19,real,True,0.0522,0.0,4.444737434387207
42.1,real,True,0.0521,0.0,4.004926681518555
42.24,real,True,0.0517,0.0,4.285031795501709
42.95,real,True,0.0531,0.0,4.469913005828857
43.1,real,True,0.0602,0.0,4.030612945556641
43.52,real,True,0.0532,0.0,4.595460891723633
43.57,real,True,0.0542,0.0,3.698310613632202
44.2,real,True,0.0547,0.0,3.519463062286377
44.65,real,True,0.055,0.0,3.9415078163146973
45.9,real,True,0.0907,0.0,4.5806498527526855
45.98,real,True,0.058,0.0,3.7992842197418213
46.84,real,True,0.0594,0.0,4.006731033325195
47.01,real,True,0.0599,0.0,4.247814655303955
48.17,real,True,0.0605,0.0,3.675679922103882
49.0,real,True,0.0617,0.0,4.614211082458496
51.13,real,True,0.0649,0.0,4.253274917602539
51.36,real,True,0.0648,0.0,4.115896224975586
51.52,real,True,0.0646,0.0,4.389028072357178
52.81,real,True,0.0662,0.0,3.1135354042053223
52.9,real,True,0.0699,0.0,4.240217685699463
53.0,real,True,0.0669,0.0,4.251431941986084
53.25,real,True,0.0684,0.0,3.349715232849121
54.36,real,True,0.068,0.0,3.956033945083618
54.67,real,True,0.0685,0.0,3.5334084033966064
54.74,real,True,0.0683,0.0,4.308352947235107
55.24,real,True,0.0703,0.0,3.0406980514526367
57.09,real,True,0.0728,0.0,4.391480445861816
57.89,real,True,0.0724,0.0,3.0391037464141846
58.34,real,True,0.0746,0.0,3.715531349182129
58.83,real,True,0.0735,0.0,4.11922550201416
60.53,real,True,0.0813,0.0,3.038407325744629
60.53,real,True,0.0791,0.0,3.4572699069976807
61.06,real,True,0.0806,0.0,4.514598369598389
63.92,real,True,0.0852,0.0,4.608061790466309
64.9,real,True,0.0852,0.0,4.340706825256348
66.19,real,True,0.0864,0.0,3.4127585887908936
67.08,real,True,0.09,0.0,3.334505558013916
67.7,real,True,0.0909,0.0,3.8312411308288574
67.79,real,True,0.0894,0.0,3.600405216217041
68.03,real,True,0.0931,0.0,3.2606122493743896
68.57,real,True,0.0914,0.0,3.720884323120117
69.12,real,True,0.0885,0.0,3.9791367053985596
69.71,real,True,0.0945,0.0,4.438579559326172
71.83,real,True,0.096,0.0,4.214311122894287
72.28,real,True,0.0975,0.0,3.1137890815734863
72.66,real,True,0.0982,0.0,4.278716087341309
72.81,real,True,0.0975,0.0,4.093475818634033
73.4,real,True,0.0967,0.0,4.415488243103027
75.1,real,True,0.0981,0.0,3.8217508792877197
75.45,real,True,0.0985,0.0,4.360459327697754
75.7,real,True,0.1061,0.0,3.87166166305542
75.74,real,True,0.1014,0.0,4.541658878326416
76.14,real,True,0.1012,0.0,4.292547225952148
76.51,real,True,0.1041,0.0,4.2875566482543945
76.92,real,True,0.1123,0.0,3.564462900161743
76.97,real,True,0.1109,0.0,3.970677375793457
78.76,real,True,0.1065,0.0,3.8046793937683105
79.51,real,True,0.1053,0.0,4.295751094818115
79.74,real,True,0.1137,0.0,3.6830599308013916
80.01,real,True,0.1069,0.0,4.025406837463379
80.31,real,True,0.105,0.0,3.9444966316223145
80.53,real,True,0.1087,0.0,3.768080711364746
81.3,real,True,0.1154,0.0,2.9073033332824707
