block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw
0.0,5.0,2.5,4.147604,2.357143
10.0,15.0,12.5,3.773275,3.0
15.0,20.0,17.5,3.731591,2.428571
20.0,25.0,22.5,3.939673,2.1
25.0,30.0,27.5,4.180357,1.888889
30.0,35.0,32.5,4.218925,3.0
35.0,40.0,37.5,4.097569,2.6
40.0,45.0,42.5,4.151336,2.636364
45.0,50.0,47.5,4.193677,3.5
50.0,55.0,52.5,4.428487,2.38961
55.0,60.0,57.5,4.184148,2.3
70.0,75.0,72.5,4.076641,3.125
75.0,80.0,77.5,4.147035,3.444444
80.0,85.0,82.5,4.035464,3.009005
85.0,90.0,87.5,3.816115,2.290112
90.0,95.0,92.5,4.039908,3.234903
100.0,105.0,102.5,4.291845,3.272727
105.0,110.0,107.5,4.211967,3.076923
110.0,115.0,112.5,4.20067,2.333333
120.0,125.0,122.5,3.99561,2.611724
125.0,130.0,127.5,4.284925,2.536765
130.0,135.0,132.5,4.00906,2.5
135.0,140.0,137.5,4.056668,2.454545
145.0,150.0,147.5,4.367897,3.333333
150.0,155.0,152.5,3.376605,2.5
155.0,160.0,157.5,4.036861,2.166667
160.0,165.0,162.5,4.087352,3.0
170.0,175.0,172.5,4.21868,3.0
175.0,180.0,177.5,4.274499,2.5
