train_id,19
sys_a,sys6c11c
sys_b,sys91caa
target_seconds,180.0
block_seconds,5.0
start_index,0
list_path,/net/db/BVCC/main/DATA/sets/test_mos_list.txt
wav_root,/net/db/BVCC/main/DATA/wav

utt,mos_target,path,dur_s
sys6c11c-uttcfbeaa0.wav,3.5,/net/db/BVCC/main/DATA/wav/sys6c11c-uttcfbeaa0.wav,9.1476875
sys91caa-utt69e5086.wav,2.125,/net/db/BVCC/main/DATA/wav/sys91caa-utt69e5086.wav,14.2451875
sys6c11c-utt430bc9d.wav,3.5,/net/db/BVCC/main/DATA/wav/sys6c11c-utt430bc9d.wav,10.84475
sys91caa-uttaee7629.wav,3.0,/net/db/BVCC/main/DATA/wav/sys91caa-uttaee7629.wav,13.230125
sys6c11c-uttaa6814e.wav,3.375,/net/db/BVCC/main/DATA/wav/sys6c11c-uttaa6814e.wav,5.7134375
sys91caa-utt0ca131c.wav,2.75,/net/db/BVCC/main/DATA/wav/sys91caa-utt0ca131c.wav,6.7550625
sys6c11c-utt9d6c3b4.wav,3.0,/net/db/BVCC/main/DATA/wav/sys6c11c-utt9d6c3b4.wav,15.277
sys91caa-uttb80b406.wav,3.0,/net/db/BVCC/main/DATA/wav/sys91caa-uttb80b406.wav,20.4501875
sys6c11c-utt13d6333.wav,3.625,/net/db/BVCC/main/DATA/wav/sys6c11c-utt13d6333.wav,4.68025
sys91caa-utt9459d46.wav,2.5,/net/db/BVCC/main/DATA/wav/sys91caa-utt9459d46.wav,6.1700625
sys6c11c-uttf771f0f.wav,3.25,/net/db/BVCC/main/DATA/wav/sys6c11c-uttf771f0f.wav,14.1528125
sys91caa-uttfa503fc.wav,2.625,/net/db/BVCC/main/DATA/wav/sys91caa-uttfa503fc.wav,16.250125
sys6c11c-utt5a77f4e.wav,2.625,/net/db/BVCC/main/DATA/wav/sys6c11c-utt5a77f4e.wav,13.81775
sys91caa-uttdf00646.wav,3.625,/net/db/BVCC/main/DATA/wav/sys91caa-uttdf00646.wav,18.7601875
sys6c11c-utt80628ff.wav,2.75,/net/db/BVCC/main/DATA/wav/sys6c11c-utt80628ff.wav,6.2265625
sys91caa-utt9ed06b2.wav,3.0,/net/db/BVCC/main/DATA/wav/sys91caa-utt9ed06b2.wav,11.3801875
