block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw
0.0,5.0,2.5,4.247448,3.833649
5.0,10.0,7.5,4.048456,3.4
10.0,15.0,12.5,3.678847,3.923077
15.0,20.0,17.5,4.299438,3.6
20.0,25.0,22.5,4.166967,4.0
30.0,35.0,32.5,4.544203,3.941428
35.0,40.0,37.5,4.228526,3.857143
40.0,45.0,42.5,4.501121,4.266667
45.0,50.0,47.5,4.032878,3.666667
50.0,55.0,52.5,3.872773,3.449847
55.0,60.0,57.5,3.870962,3.6
60.0,65.0,62.5,4.006785,3.25
65.0,70.0,67.5,4.110598,3.920268
70.0,75.0,72.5,3.656636,3.537456
75.0,80.0,77.5,4.179858,3.640453
80.0,85.0,82.5,4.207306,3.888889
85.0,90.0,87.5,4.229619,3.764677
95.0,100.0,97.5,4.11804,3.404869
100.0,105.0,102.5,4.13986,3.808966
105.0,110.0,107.5,4.458761,4.0
110.0,115.0,112.5,4.261302,3.545455
115.0,120.0,117.5,4.335422,3.571429
120.0,125.0,122.5,4.093921,3.502604
125.0,130.0,127.5,4.500873,3.5
130.0,135.0,132.5,4.492785,4.384615
135.0,140.0,137.5,4.233007,3.625
140.0,145.0,142.5,4.293069,3.928571
145.0,150.0,147.5,3.960316,3.125
150.0,155.0,152.5,4.094494,3.25
155.0,160.0,157.5,4.176939,3.333333
160.0,165.0,162.5,4.373158,3.461538
165.0,170.0,167.5,4.040005,3.6
170.0,175.0,172.5,4.422126,3.712213
175.0,180.0,177.5,4.127574,3.955596
