block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw
0.0,1.0,0.5,4.405514,3.888889
2.0,3.0,2.5,3.923132,3.8
5.0,6.0,5.5,4.190837,3.727273
8.0,9.0,8.5,4.436124,4.1
11.0,12.0,11.5,4.51496,4.0
14.0,15.0,14.5,4.183095,3.4
18.0,19.0,18.5,4.292074,3.461538
21.0,22.0,21.5,4.037507,3.384615
25.0,26.0,25.5,4.453746,3.818182
27.0,28.0,27.5,4.28933,3.666667
29.0,30.0,29.5,4.37434,3.6
32.0,33.0,32.5,3.9615,3.25
36.0,37.0,36.5,4.109283,3.125
43.0,44.0,43.5,3.689089,3.307692
48.0,49.0,48.5,4.545905,3.727273
50.0,51.0,50.5,4.087142,3.4
55.0,56.0,55.5,4.085568,4.083333
58.0,59.0,58.5,3.870558,3.923077
62.0,63.0,62.5,4.301723,3.333333
64.0,65.0,64.5,4.354475,3.75
72.0,73.0,72.5,4.351145,3.875
74.0,75.0,74.5,4.533823,4.384615
76.0,77.0,76.5,4.023462,3.25
82.0,83.0,82.5,4.197433,3.1
85.0,86.0,85.5,4.441634,3.6
88.0,89.0,88.5,4.679396,4.0
90.0,91.0,90.5,4.195706,3.6
94.0,95.0,94.5,4.261453,3.416667
95.0,96.0,95.5,4.447206,3.571429
97.0,98.0,97.5,4.232566,3.6
100.0,101.0,100.5,3.440809,3.7
103.0,104.0,103.5,3.931735,3.333333
107.0,108.0,107.5,4.294106,4.222222
110.0,111.0,110.5,4.245341,3.916667
111.0,112.0,111.5,4.287706,3.461538
118.0,119.0,118.5,4.069828,3.545455
127.0,128.0,127.5,4.252777,4.111111
132.0,133.0,132.5,4.581538,4.266667
137.0,138.0,137.5,4.176883,4.090909
140.0,141.0,140.5,4.638319,3.555556
142.0,143.0,142.5,4.140219,3.857143
149.0,150.0,149.5,4.341252,3.625
156.0,157.0,156.5,4.464,3.555556
160.0,161.0,160.5,4.521692,3.888889
162.0,163.0,162.5,4.426249,3.5
169.0,170.0,169.5,4.386617,3.928571
172.0,173.0,172.5,4.259552,4.0
