train_id,27
sys_a,sys78aec
sys_b,sys91caa
target_seconds,180.0
block_seconds,1.0
start_index,0
list_path,/net/db/BVCC/main/DATA/sets/test_mos_list.txt
wav_root,/net/db/BVCC/main/DATA/wav

utt,mos_target,path,dur_s
sys78aec-uttf30188b.wav,3.25,/net/db/BVCC/main/DATA/wav/sys78aec-uttf30188b.wav,4.7949375
sys91caa-utt69e5086.wav,2.125,/net/db/BVCC/main/DATA/wav/sys91caa-utt69e5086.wav,14.2451875
sys78aec-utt151ad99.wav,4.375,/net/db/BVCC/main/DATA/wav/sys78aec-utt151ad99.wav,1.729875
sys91caa-uttaee7629.wav,3.0,/net/db/BVCC/main/DATA/wav/sys91caa-uttaee7629.wav,13.230125
sys78aec-utt53b5eb6.wav,4.75,/net/db/BVCC/main/DATA/wav/sys78aec-utt53b5eb6.wav,9.5898125
sys91caa-utt0ca131c.wav,2.75,/net/db/BVCC/main/DATA/wav/sys91caa-utt0ca131c.wav,6.7550625
sys78aec-uttcf77e64.wav,4.125,/net/db/BVCC/main/DATA/wav/sys78aec-uttcf77e64.wav,8.8584375
sys91caa-uttb80b406.wav,3.0,/net/db/BVCC/main/DATA/wav/sys91caa-uttb80b406.wav,20.4501875
sys78aec-utt60aacbe.wav,4.375,/net/db/BVCC/main/DATA/wav/sys78aec-utt60aacbe.wav,4.93425
sys91caa-utt9459d46.wav,2.5,/net/db/BVCC/main/DATA/wav/sys91caa-utt9459d46.wav,6.1700625
sys78aec-utt801cd92.wav,4.375,/net/db/BVCC/main/DATA/wav/sys78aec-utt801cd92.wav,5.1780625
sys91caa-uttfa503fc.wav,2.625,/net/db/BVCC/main/DATA/wav/sys91caa-uttfa503fc.wav,16.250125
sys78aec-utt6ad1fc7.wav,4.125,/net/db/BVCC/main/DATA/wav/sys78aec-utt6ad1fc7.wav,4.527875
sys91caa-uttdf00646.wav,3.625,/net/db/BVCC/main/DATA/wav/sys91caa-uttdf00646.wav,18.7601875
sys78aec-uttb5d570a.wav,4.625,/net/db/BVCC/main/DATA/wav/sys78aec-uttb5d570a.wav,6.4203125
sys91caa-utt9ed06b2.wav,3.0,/net/db/BVCC/main/DATA/wav/sys91caa-utt9ed06b2.wav,11.3801875
sys78aec-utte8c4dbe.wav,4.75,/net/db/BVCC/main/DATA/wav/sys78aec-utte8c4dbe.wav,1.5093125
sys91caa-utt39e1e6c.wav,2.25,/net/db/BVCC/main/DATA/wav/sys91caa-utt39e1e6c.wav,13.900125
sys78aec-uttf5a7b89.wav,4.5,/net/db/BVCC/main/DATA/wav/sys78aec-uttf5a7b89.wav,4.644
sys91caa-utt2b38b6e.wav,2.875,/net/db/BVCC/main/DATA/wav/sys91caa-utt2b38b6e.wav,18.3251875
