train_id,23
sys_a,sys8f532
sys_b,sysd81da
target_seconds,180.0
block_seconds,20.0
start_index,0
list_path,/net/db/BVCC/main/DATA/sets/test_mos_list.txt
wav_root,/net/db/BVCC/main/DATA/wav

utt,mos_target,path,dur_s
sys8f532-utt2f825dd.wav,4.875,/net/db/BVCC/main/DATA/wav/sys8f532-utt2f825dd.wav,1.92275
sysd81da-uttdc2ecab.wav,4.25,/net/db/BVCC/main/DATA/wav/sysd81da-uttdc2ecab.wav,4.8065
sys8f532-uttc43aa19.wav,4.25,/net/db/BVCC/main/DATA/wav/sys8f532-uttc43aa19.wav,9.852375
sysd81da-uttd54aeed.wav,4.625,/net/db/BVCC/main/DATA/wav/sysd81da-uttd54aeed.wav,4.45825
sys8f532-utt73793bc.wav,3.75,/net/db/BVCC/main/DATA/wav/sys8f532-utt73793bc.wav,6.6015625
sysd81da-utteb5a917.wav,4.5,/net/db/BVCC/main/DATA/wav/sysd81da-utteb5a917.wav,8.394
sys8f532-uttd5819aa.wav,4.25,/net/db/BVCC/main/DATA/wav/sys8f532-uttd5819aa.wav,4.9645625
sysd81da-utte081992.wav,4.875,/net/db/BVCC/main/DATA/wav/sysd81da-utte081992.wav,9.8220625
sys8f532-utt34cd40b.wav,4.5,/net/db/BVCC/main/DATA/wav/sys8f532-utt34cd40b.wav,6.3229375
sysd81da-utt59ce229.wav,4.375,/net/db/BVCC/main/DATA/wav/sysd81da-utt59ce229.wav,4.7600625
sys8f532-utt3f4b7d6.wav,4.5,/net/db/BVCC/main/DATA/wav/sys8f532-utt3f4b7d6.wav,6.9034375
sysd81da-uttbfc74b2.wav,4.375,/net/db/BVCC/main/DATA/wav/sysd81da-uttbfc74b2.wav,8.6261875
sys8f532-utta85118e.wav,4.25,/net/db/BVCC/main/DATA/wav/sys8f532-utta85118e.wav,4.744
sysd81da-utt9308033.wav,3.625,/net/db/BVCC/main/DATA/wav/sysd81da-utt9308033.wav,2.3568125
sys8f532-utt6ee4354.wav,4.625,/net/db/BVCC/main/DATA/wav/sys8f532-utt6ee4354.wav,5.1155
sysd81da-utt02a327f.wav,4.375,/net/db/BVCC/main/DATA/wav/sysd81da-utt02a327f.wav,7.720625
sys8f532-utt8e4f5d1.wav,4.375,/net/db/BVCC/main/DATA/wav/sys8f532-utt8e4f5d1.wav,6.288125
sysd81da-utt95fb138.wav,4.25,/net/db/BVCC/main/DATA/wav/sysd81da-utt95fb138.wav,8.4636875
sys8f532-utt93826e8.wav,4.75,/net/db/BVCC/main/DATA/wav/sys8f532-utt93826e8.wav,6.648
sysd81da-uttdc2ecab.wav,4.25,/net/db/BVCC/main/DATA/wav/sysd81da-uttdc2ecab.wav,4.8065
sys8f532-utt2f825dd.wav,4.875,/net/db/BVCC/main/DATA/wav/sys8f532-utt2f825dd.wav,1.92275
sysd81da-uttd54aeed.wav,4.625,/net/db/BVCC/main/DATA/wav/sysd81da-uttd54aeed.wav,4.45825
sys8f532-uttc43aa19.wav,4.25,/net/db/BVCC/main/DATA/wav/sys8f532-uttc43aa19.wav,9.852375
sysd81da-utteb5a917.wav,4.5,/net/db/BVCC/main/DATA/wav/sysd81da-utteb5a917.wav,8.394
sys8f532-utt73793bc.wav,3.75,/net/db/BVCC/main/DATA/wav/sys8f532-utt73793bc.wav,6.6015625
sysd81da-utte081992.wav,4.875,/net/db/BVCC/main/DATA/wav/sysd81da-utte081992.wav,9.8220625
sys8f532-uttd5819aa.wav,4.25,/net/db/BVCC/main/DATA/wav/sys8f532-uttd5819aa.wav,4.9645625
sysd81da-utt59ce229.wav,4.375,/net/db/BVCC/main/DATA/wav/sysd81da-utt59ce229.wav,4.7600625
sys8f532-utt34cd40b.wav,4.5,/net/db/BVCC/main/DATA/wav/sys8f532-utt34cd40b.wav,6.3229375
