block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw
0.0,5.0,2.5,3.685827,3.261326
5.0,10.0,7.5,3.754247,3.397721
10.0,15.0,12.5,3.76783,3.545455
15.0,20.0,17.5,3.905367,3.511878
20.0,25.0,22.5,3.547474,4.0
25.0,30.0,27.5,4.039682,3.097202
30.0,35.0,32.5,3.635736,3.25
35.0,40.0,37.5,3.83136,3.429526
40.0,45.0,42.5,3.97974,3.439978
45.0,50.0,47.5,3.568267,4.0
50.0,55.0,52.5,3.375285,3.454545
55.0,60.0,57.5,3.446667,3.444444
60.0,65.0,62.5,3.490528,3.139128
65.0,70.0,67.5,3.60062,2.6
70.0,75.0,72.5,3.698861,4.0
75.0,80.0,77.5,3.670704,2.874484
80.0,85.0,82.5,3.995457,3.727273
85.0,90.0,87.5,3.825513,3.689292
90.0,95.0,92.5,3.909572,3.064535
95.0,100.0,97.5,3.702622,3.0
100.0,105.0,102.5,3.224679,2.712329
105.0,110.0,107.5,3.975647,3.769131
110.0,115.0,112.5,4.107915,3.818182
115.0,120.0,117.5,3.89352,3.059006
120.0,125.0,122.5,3.613745,2.727273
125.0,130.0,127.5,3.813522,2.961777
130.0,135.0,132.5,4.14256,3.6
135.0,140.0,137.5,3.721409,2.7
140.0,145.0,142.5,3.776473,3.125054
145.0,150.0,147.5,3.903155,3.363636
150.0,155.0,152.5,3.380477,2.443404
155.0,160.0,157.5,3.881061,2.727273
160.0,165.0,162.5,4.052742,2.857143
165.0,170.0,167.5,3.736161,3.515075
170.0,175.0,172.5,3.639335,2.75
175.0,180.0,177.5,4.030544,3.636364
