block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw
0.0,5.0,2.5,4.274499,2.5
5.0,10.0,7.5,4.21868,3.0
10.0,15.0,12.5,4.087352,3.0
20.0,25.0,22.5,4.036861,2.166667
25.0,30.0,27.5,3.54243,2.5
30.0,35.0,32.5,4.367897,3.333333
35.0,40.0,37.5,4.160006,2.454545
45.0,50.0,47.5,4.236649,2.5
55.0,60.0,57.5,4.387846,2.554147
60.0,65.0,62.5,3.999388,2.410539
70.0,75.0,72.5,4.211967,3.076923
75.0,80.0,77.5,4.291845,3.272727
85.0,90.0,87.5,3.971629,3.4
90.0,95.0,92.5,4.405396,2.529622
95.0,100.0,97.5,3.746745,2.125
100.0,105.0,102.5,3.789356,3.009005
105.0,110.0,107.5,4.128977,3.25707
110.0,115.0,112.5,4.221756,2.3
125.0,130.0,127.5,4.383512,2.363636
130.0,135.0,132.5,4.266586,3.22525
135.0,140.0,137.5,4.151336,2.636364
140.0,145.0,142.5,4.097569,2.6
145.0,150.0,147.5,4.218925,3.0
150.0,155.0,152.5,4.180357,1.888889
155.0,160.0,157.5,3.939673,2.1
160.0,165.0,162.5,3.731591,2.428571
165.0,170.0,167.5,3.773275,3.0
175.0,180.0,177.5,4.147604,2.357143
