block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw
0.0,5.0,2.5,3.998863,2.166667
5.0,10.0,7.5,3.482805,2.5
10.0,15.0,12.5,3.610605,2.428571
15.0,20.0,17.5,3.973,2.357143
25.0,30.0,27.5,3.031354,2.5
30.0,35.0,32.5,3.958292,3.5
40.0,45.0,42.5,3.994051,3.272727
45.0,50.0,47.5,4.183541,2.636364
50.0,55.0,52.5,4.260713,2.444444
55.0,60.0,57.5,3.96128,3.333333
60.0,65.0,62.5,4.258324,2.5
65.0,70.0,67.5,3.888265,2.1
70.0,75.0,72.5,3.696464,2.125
75.0,80.0,77.5,3.807445,2.636364
80.0,85.0,82.5,3.918961,2.363636
85.0,90.0,87.5,3.506119,2.454545
95.0,100.0,97.5,3.933332,3.0
100.0,105.0,102.5,4.222631,2.583333
105.0,110.0,107.5,3.731179,1.883513
110.0,115.0,112.5,3.913984,2.6
115.0,120.0,117.5,4.250091,3.0
120.0,125.0,122.5,3.38153,3.470293
125.0,130.0,127.5,4.468142,3.444444
130.0,135.0,132.5,3.849229,2.951494
135.0,140.0,137.5,3.989935,3.0
140.0,145.0,142.5,4.111491,2.333333
150.0,155.0,152.5,3.867023,3.181877
155.0,160.0,157.5,3.749548,2.3
170.0,175.0,172.5,3.852137,2.6
175.0,180.0,177.5,3.881045,2.831909
