block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw
0.0,1.0,0.5,3.391791,3.1
7.0,8.0,7.5,3.936928,2.727273
10.0,11.0,10.5,4.380673,3.428571
15.0,16.0,15.5,3.867465,2.846154
26.0,27.0,26.5,4.11601,3.7
30.0,31.0,30.5,3.797238,2.666667
34.0,35.0,34.5,4.369222,3.25
38.0,39.0,38.5,4.043837,2.166667
48.0,49.0,48.5,4.010486,2.909091
53.0,54.0,53.5,4.101706,2.777778
61.0,62.0,61.5,4.106882,2.6
66.0,67.0,66.5,4.069878,3.583333
71.0,72.0,71.5,3.887424,2.0
78.0,79.0,78.5,3.589213,2.25
85.0,86.0,85.5,3.622327,2.7
91.0,92.0,91.5,3.833463,2.714286
94.0,95.0,94.5,3.8421,2.571429
104.0,105.0,104.5,4.226766,2.6
111.0,112.0,111.5,4.048657,3.875
113.0,114.0,113.5,3.941049,2.333333
120.0,121.0,120.5,3.980138,2.666667
130.0,131.0,130.5,3.036651,2.909091
134.0,135.0,134.5,3.787556,2.454545
140.0,141.0,140.5,3.553115,3.416667
147.0,148.0,147.5,3.47559,2.666667
157.0,158.0,157.5,3.644573,3.285714
166.0,167.0,166.5,3.822954,2.615385
172.0,173.0,172.5,3.397044,2.6
