block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw
0.0,5.0,2.5,4.141991,3.840329
5.0,10.0,7.5,4.325362,3.931691
10.0,15.0,12.5,4.311621,3.63237
15.0,20.0,17.5,4.292074,3.461538
20.0,25.0,22.5,4.037507,3.384615
25.0,30.0,27.5,4.378242,3.698087
30.0,35.0,32.5,3.9615,3.25
35.0,40.0,37.5,4.109283,3.125
40.0,45.0,42.5,3.689089,3.307692
45.0,50.0,47.5,4.545905,3.727273
50.0,55.0,52.5,4.087142,3.4
55.0,60.0,57.5,3.959312,3.989229
60.0,65.0,62.5,4.339555,3.632155
70.0,75.0,72.5,4.433785,4.10554
75.0,80.0,77.5,4.023462,3.25
80.0,85.0,82.5,4.197433,3.1
85.0,90.0,87.5,4.543254,3.770961
90.0,95.0,92.5,4.216625,3.541667
95.0,100.0,97.5,4.313716,3.589198
100.0,105.0,102.5,3.704321,3.503186
105.0,110.0,107.5,4.294106,4.222222
110.0,115.0,112.5,4.280114,3.543093
115.0,120.0,117.5,4.069828,3.545455
125.0,130.0,127.5,4.252777,4.111111
130.0,135.0,132.5,4.581538,4.266667
135.0,140.0,137.5,4.176883,4.090909
140.0,145.0,142.5,4.269899,3.778625
145.0,150.0,147.5,4.341252,3.625
155.0,160.0,157.5,4.464,3.555556
160.0,165.0,162.5,4.451013,3.600903
165.0,170.0,167.5,4.386617,3.928571
170.0,175.0,172.5,4.259552,4.0
