block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw
0.0,5.0,2.5,3.709784,3.75
5.0,10.0,7.5,3.820725,3.272727
10.0,15.0,12.5,3.885462,2.909091
20.0,25.0,22.5,4.103543,3.615385
25.0,30.0,27.5,3.826341,3.605456
30.0,35.0,32.5,3.828747,3.076923
35.0,40.0,37.5,4.303495,3.1
40.0,45.0,42.5,3.923439,3.75
45.0,50.0,47.5,3.67631,3.454545
50.0,55.0,52.5,3.924534,3.140124
55.0,60.0,57.5,4.212932,2.625
60.0,65.0,62.5,3.798513,2.7
65.0,70.0,67.5,3.450732,2.769231
70.0,75.0,72.5,3.844305,3.658903
75.0,80.0,77.5,4.109992,3.727273
80.0,85.0,82.5,3.868966,3.9
85.0,90.0,87.5,3.354329,3.7
95.0,100.0,97.5,4.013016,2.615385
105.0,110.0,107.5,3.662415,3.0
110.0,115.0,112.5,3.891753,3.083333
120.0,125.0,122.5,3.852895,3.090909
125.0,130.0,127.5,4.100922,3.769231
130.0,135.0,132.5,3.833661,4.047224
135.0,140.0,137.5,4.039183,3.166667
140.0,145.0,142.5,4.300766,3.454545
145.0,150.0,147.5,3.588255,3.235269
150.0,155.0,152.5,4.153878,3.333333
155.0,160.0,157.5,4.171083,3.25
160.0,165.0,162.5,4.103644,3.0
165.0,170.0,167.5,3.998525,2.699867
170.0,175.0,172.5,4.127671,3.910604
175.0,180.0,177.5,4.236804,3.3
