results_block correlations report | dataset=somos
procedures: global_concat, global_rm, block_concat, block_rm
internal consistency: concat vs rm (global), concat vs rm (block)

1) correlations to target — global concat
tr     label                     system          mode      variant         PCC         SRCC        KTAU        n
18     w2v2-base + Transformer   057             random    long_pause      -0.536260   -0.711741   -0.503374   39
18     w2v2-base + Transformer   057             random    long_pause_noi  0.767251    0.167814    0.120108    39
18     w2v2-base + Transformer   057             random    no_pause        -0.776567   -0.803239   -0.624831   39
18     w2v2-base + Transformer   057             random    original        -0.776484   -0.635223   -0.454791   39
18     w2v2-base + Transformer   061             random    long_pause      -0.039430   0.289546    0.185185    28
18     w2v2-base + Transformer   061             random    long_pause_noi  -0.524651   -0.287904   -0.179894   28
18     w2v2-base + Transformer   061             random    no_pause        0.422347    0.515052    0.402116    28
18     w2v2-base + Transformer   061             random    original        0.570726    0.555008    0.439153    28
18     w2v2-base + Transformer   110             random    long_pause      0.553217    0.180735    0.108233    47
18     w2v2-base + Transformer   110             random    long_pause_noi  0.512806    0.021392    -0.026827   47
18     w2v2-base + Transformer   110             random    no_pause        0.390991    0.130550    0.041628    47
18     w2v2-base + Transformer   110             random    original        0.369334    0.218316    0.093432    47
18     w2v2-base + Transformer   124             random    long_pause      -0.801607   -0.082633   -0.035294   35
18     w2v2-base + Transformer   124             random    long_pause_noi  -0.485865   0.094118    0.078992    35
18     w2v2-base + Transformer   124             random    no_pause        -0.781768   -0.152381   -0.082353   35
18     w2v2-base + Transformer   124             random    original        -0.735650   -0.157143   -0.089076   35
18     w2v2-base + Transformer   191             random    long_pause      0.751616    0.749711    0.589226    55
18     w2v2-base + Transformer   191             random    long_pause_noi  0.770461    0.751443    0.595960    55
18     w2v2-base + Transformer   191             random    no_pause        0.775139    0.773665    0.621549    55
18     w2v2-base + Transformer   191             random    original        0.764859    0.784993    0.622896    55
18     w2v2-base + Transformer   057             reverse   long_pause      0.406992    0.265587    0.195682    39
18     w2v2-base + Transformer   057             reverse   long_pause_noi  0.407669    0.238462    0.165992    39
18     w2v2-base + Transformer   057             reverse   no_pause        0.319572    0.265587    0.211876    39
18     w2v2-base + Transformer   057             reverse   original        0.259537    0.205263    0.149798    39
18     w2v2-base + Transformer   061             reverse   long_pause      0.508767    0.150520    0.089947    28
18     w2v2-base + Transformer   061             reverse   long_pause_noi  0.550884    -0.037767   -0.021164   28
18     w2v2-base + Transformer   061             reverse   no_pause        0.647918    0.142857    0.105820    28
18     w2v2-base + Transformer   061             reverse   original        0.563469    0.214559    0.164021    28
18     w2v2-base + Transformer   110             reverse   long_pause      0.603844    0.210569    0.069380    47
18     w2v2-base + Transformer   110             reverse   long_pause_noi  0.653881    0.259019    0.100833    47
18     w2v2-base + Transformer   110             reverse   no_pause        0.072321    -0.375809   -0.282146   47
18     w2v2-base + Transformer   110             reverse   original        0.025834    -0.328515   -0.250694   47
18     w2v2-base + Transformer   124             reverse   long_pause      -0.764415   -0.764146   -0.522689   35
18     w2v2-base + Transformer   124             reverse   long_pause_noi  -0.764121   -0.771709   -0.539496   35
18     w2v2-base + Transformer   124             reverse   no_pause        -0.765185   -0.740056   -0.509244   35
18     w2v2-base + Transformer   124             reverse   original        -0.765504   -0.747899   -0.522689   35
18     w2v2-base + Transformer   191             reverse   long_pause      -0.327822   0.151299    0.113805    55
18     w2v2-base + Transformer   191             reverse   long_pause_noi  0.509242    0.382323    0.244444    55
18     w2v2-base + Transformer   191             reverse   no_pause        -0.465115   0.173665    0.140741    55
18     w2v2-base + Transformer   191             reverse   original        -0.509299   0.144444    0.111111    55
18     w2v2-base + Transformer   057             forward   long_pause      0.090539    0.441296    0.306343    39
18     w2v2-base + Transformer   057             forward   long_pause_noi  0.108341    0.324089    0.214575    39
18     w2v2-base + Transformer   057             forward   no_pause        -0.389959   0.355466    0.246964    39
18     w2v2-base + Transformer   057             forward   original        -0.472451   0.375911    0.276653    39
18     w2v2-base + Transformer   061             forward   long_pause      -0.636270   -0.733443   -0.539683   28
18     w2v2-base + Transformer   061             forward   long_pause_noi  -0.440863   -0.616858   -0.513228   28
18     w2v2-base + Transformer   061             forward   no_pause        0.238588    0.517789    0.439153    28
18     w2v2-base + Transformer   061             forward   original        0.359091    0.521073    0.428571    28
18     w2v2-base + Transformer   110             forward   long_pause      0.473574    0.779949    0.592969    47
18     w2v2-base + Transformer   110             forward   long_pause_noi  0.137530    0.642345    0.535615    47
18     w2v2-base + Transformer   110             forward   no_pause        0.445768    0.737165    0.596670    47
18     w2v2-base + Transformer   110             forward   original        0.439730    0.744796    0.618871    47
18     w2v2-base + Transformer   124             forward   long_pause      -0.374647   -0.200000   -0.078992   35
18     w2v2-base + Transformer   124             forward   long_pause_noi  -0.303284   -0.156022   -0.078992   35
18     w2v2-base + Transformer   124             forward   no_pause        -0.428300   -0.279272   -0.139496   35
18     w2v2-base + Transformer   124             forward   original        -0.467023   -0.266387   -0.142857   35
18     w2v2-base + Transformer   191             forward   long_pause      0.612242    0.598413    0.406061    55
18     w2v2-base + Transformer   191             forward   long_pause_noi  0.306097    0.262698    0.177104    55
18     w2v2-base + Transformer   191             forward   no_pause        0.692625    0.741126    0.529966    55
18     w2v2-base + Transformer   191             forward   original        0.730905    0.740620    0.525926    55
19     w2v2-large + Transformer  057             random    long_pause      -0.603718   -0.775101   -0.573549   39
19     w2v2-large + Transformer  057             random    long_pause_noi  0.552123    0.461538    0.325236    39
19     w2v2-large + Transformer  057             random    no_pause        -0.619954   -0.797166   -0.600540   39
19     w2v2-large + Transformer  057             random    original        -0.630329   -0.753239   -0.546559   39
19     w2v2-large + Transformer  061             random    long_pause      0.916097    0.829776    0.666667    28
19     w2v2-large + Transformer  061             random    long_pause_noi  -0.565824   -0.311440   -0.179894   28
19     w2v2-large + Transformer  061             random    no_pause        0.880797    0.784893    0.576720    28
19     w2v2-large + Transformer  061             random    original        0.822346    0.787083    0.582011    28
19     w2v2-large + Transformer  110             random    long_pause      0.736511    0.742599    0.626272    47
19     w2v2-large + Transformer  110             random    long_pause_noi  0.624059    0.244218    0.161887    47
19     w2v2-large + Transformer  110             random    no_pause        0.768375    0.743409    0.580019    47
19     w2v2-large + Transformer  110             random    original        0.751189    0.735893    0.572618    47
19     w2v2-large + Transformer  124             random    long_pause      -0.393778   -0.078431   -0.055462   35
19     w2v2-large + Transformer  124             random    long_pause_noi  0.332357    0.122689    0.082353    35
19     w2v2-large + Transformer  124             random    no_pause        -0.019959   0.026611    0.068908    35
19     w2v2-large + Transformer  124             random    original        0.114601    0.038655    0.031933    35
19     w2v2-large + Transformer  191             random    long_pause      0.584192    0.644733    0.441077    55
19     w2v2-large + Transformer  191             random    long_pause_noi  0.596884    0.656782    0.458586    55
19     w2v2-large + Transformer  191             random    no_pause        0.585524    0.726984    0.573064    55
19     w2v2-large + Transformer  191             random    original        0.623534    0.741126    0.605387    55
19     w2v2-large + Transformer  057             reverse   long_pause      0.413004    0.255061    0.152497    39
19     w2v2-large + Transformer  057             reverse   long_pause_noi  0.424202    0.167814    0.103914    39
19     w2v2-large + Transformer  057             reverse   no_pause        0.434409    0.279757    0.168691    39
19     w2v2-large + Transformer  057             reverse   original        0.424701    0.274291    0.163293    39
19     w2v2-large + Transformer  061             reverse   long_pause      0.280312    0.058019    0.021164    28
19     w2v2-large + Transformer  061             reverse   long_pause_noi  0.373918    -0.150520   -0.089947   28
19     w2v2-large + Transformer  061             reverse   no_pause        0.427633    0.116585    0.047619    28
19     w2v2-large + Transformer  061             reverse   original        0.474108    0.118227    0.052910    28
19     w2v2-large + Transformer  110             reverse   long_pause      0.789721    0.473057    0.306198    47
19     w2v2-large + Transformer  110             reverse   long_pause_noi  0.721344    0.338460    0.184089    47
19     w2v2-large + Transformer  110             reverse   no_pause        0.328744    0.346323    0.283996    47
19     w2v2-large + Transformer  110             reverse   original        0.065984    0.358580    0.295097    47
19     w2v2-large + Transformer  124             reverse   long_pause      -0.680879   -0.708683   -0.462185   35
19     w2v2-large + Transformer  124             reverse   long_pause_noi  -0.527234   -0.472269   -0.277311   35
19     w2v2-large + Transformer  124             reverse   no_pause        0.205679    0.362745    0.250420    35
19     w2v2-large + Transformer  124             reverse   original        0.123668    0.104762    0.048739    35
19     w2v2-large + Transformer  191             reverse   long_pause      -0.167689   -0.030231   -0.003367   55
19     w2v2-large + Transformer  191             reverse   long_pause_noi  0.655717    0.489683    0.337374    55
19     w2v2-large + Transformer  191             reverse   no_pause        -0.237677   0.161472    0.135354    55
19     w2v2-large + Transformer  191             reverse   original        -0.244187   0.137302    0.117845    55
19     w2v2-large + Transformer  057             forward   long_pause      0.412274    0.484615    0.309042    39
19     w2v2-large + Transformer  057             forward   long_pause_noi  0.368637    0.115992    0.087719    39
19     w2v2-large + Transformer  057             forward   no_pause        -0.366607   0.175911    0.106613    39
19     w2v2-large + Transformer  057             forward   original        -0.205225   0.264170    0.139001    39
19     w2v2-large + Transformer  061             forward   long_pause      0.487052    0.604817    0.486772    28
19     w2v2-large + Transformer  061             forward   long_pause_noi  -0.403998   -0.621784   -0.497354   28
19     w2v2-large + Transformer  061             forward   no_pause        0.567647    0.623426    0.544974    28
19     w2v2-large + Transformer  061             forward   original        0.502185    0.609195    0.507937    28
19     w2v2-large + Transformer  110             forward   long_pause      0.522862    0.769889    0.580019    47
19     w2v2-large + Transformer  110             forward   long_pause_noi  0.032418    0.583950    0.457909    47
19     w2v2-large + Transformer  110             forward   no_pause        0.456882    0.710222    0.561517    47
19     w2v2-large + Transformer  110             forward   original        0.431940    0.759135    0.644773    47
19     w2v2-large + Transformer  124             forward   long_pause      -0.259898   -0.288796   -0.189916   35
19     w2v2-large + Transformer  124             forward   long_pause_noi  -0.240893   -0.029132   -0.035294   35
19     w2v2-large + Transformer  124             forward   no_pause        -0.450706   -0.254342   -0.166387   35
19     w2v2-large + Transformer  124             forward   original        -0.488019   -0.331933   -0.213445   35
19     w2v2-large + Transformer  191             forward   long_pause      0.818137    0.139033    0.069360    55
19     w2v2-large + Transformer  191             forward   long_pause_noi  -0.464446   -0.570996   -0.412795   55
19     w2v2-large + Transformer  191             forward   no_pause        0.831761    0.743939    0.546128    55
19     w2v2-large + Transformer  191             forward   original        0.880636    0.714430    0.523232    55
23     w2v2-large + BiLSTM       057             random    long_pause      -0.577389   -0.832591   -0.651822   39
23     w2v2-large + BiLSTM       057             random    long_pause_noi  0.604476    0.417814    0.287449    39
23     w2v2-large + BiLSTM       057             random    no_pause        -0.665704   -0.822065   -0.632928   39
23     w2v2-large + BiLSTM       057             random    original        -0.672828   -0.823077   -0.632928   39
23     w2v2-large + BiLSTM       061             random    long_pause      0.919881    0.830323    0.661376    28
23     w2v2-large + BiLSTM       061             random    long_pause_noi  -0.481417   -0.229885   -0.116402   28
23     w2v2-large + BiLSTM       061             random    no_pause        0.943978    0.841817    0.661376    28
23     w2v2-large + BiLSTM       061             random    original        0.941801    0.862616    0.698413    28
23     w2v2-large + BiLSTM       110             random    long_pause      0.678001    0.705250    0.544866    47
23     w2v2-large + BiLSTM       110             random    long_pause_noi  0.613838    0.237049    0.147086    47
23     w2v2-large + BiLSTM       110             random    no_pause        0.658479    0.637026    0.476411    47
23     w2v2-large + BiLSTM       110             random    original        0.688259    0.651711    0.493062    47
23     w2v2-large + BiLSTM       124             random    long_pause      -0.616151   -0.360784   -0.297479   35
23     w2v2-large + BiLSTM       124             random    long_pause_noi  -0.019378   0.069748    0.021849    35
23     w2v2-large + BiLSTM       124             random    no_pause        -0.674249   -0.331933   -0.267227   35
23     w2v2-large + BiLSTM       124             random    original        -0.503266   -0.136415   -0.142857   35
23     w2v2-large + BiLSTM       191             random    long_pause      0.609663    0.722727    0.586532    55
23     w2v2-large + BiLSTM       191             random    long_pause_noi  0.586722    0.664791    0.493603    55
23     w2v2-large + BiLSTM       191             random    no_pause        0.572741    0.708658    0.566330    55
23     w2v2-large + BiLSTM       191             random    original        0.585432    0.723882    0.595960    55
23     w2v2-large + BiLSTM       057             reverse   long_pause      0.470632    0.263765    0.163293    39
23     w2v2-large + BiLSTM       057             reverse   long_pause_noi  0.447407    0.174089    0.114710    39
23     w2v2-large + BiLSTM       057             reverse   no_pause        0.472133    0.292510    0.184885    39
23     w2v2-large + BiLSTM       057             reverse   original        0.501143    0.301012    0.182186    39
23     w2v2-large + BiLSTM       061             reverse   long_pause      0.576203    0.136836    0.079365    28
23     w2v2-large + BiLSTM       061             reverse   long_pause_noi  0.531636    -0.114395   -0.079365   28
