results_block correlations report | dataset=bvcc
procedures: global_concat, global_rm, block_concat, block_rm
internal consistency: concat vs rm (global), concat vs rm (block)

1) correlations to target — global concat
tr     label                     system          mode      variant         PCC         SRCC        KTAU        n
18     w2v2-base + Transformer   6c11c           random    long_pause      -0.520614   -0.919118   -0.779412   17
18     w2v2-base + Transformer   6c11c           random    long_pause_noi  -0.500127   -0.914216   -0.764706   17
18     w2v2-base + Transformer   6c11c           random    no_pause        -0.475604   -0.894608   -0.720588   17
18     w2v2-base + Transformer   6c11c           random    original        -0.452089   -0.764706   -0.558824   17
18     w2v2-base + Transformer   78aec           random    long_pause      -0.098392   -0.288940   -0.180840   31
18     w2v2-base + Transformer   78aec           random    long_pause_noi  -0.314625   -0.388951   -0.275565   31
18     w2v2-base + Transformer   78aec           random    no_pause        0.099999    0.154249    0.124866    31
18     w2v2-base + Transformer   78aec           random    original        0.307163    0.469805    0.340151    31
18     w2v2-base + Transformer   83aed           random    long_pause      0.592962    0.068627    0.029412    17
18     w2v2-base + Transformer   83aed           random    long_pause_noi  0.695214    -0.022059   -0.102941   17
18     w2v2-base + Transformer   83aed           random    no_pause        0.619075    0.058824    0.029412    17
18     w2v2-base + Transformer   83aed           random    original        0.545210    0.085784    0.088235    17
18     w2v2-base + Transformer   8f532           random    long_pause      -0.652887   -0.218548   -0.131183   31
18     w2v2-base + Transformer   8f532           random    long_pause_noi  -0.466032   0.220565    0.200000    31
18     w2v2-base + Transformer   8f532           random    no_pause        -0.777750   -0.540323   -0.406452   31
18     w2v2-base + Transformer   8f532           random    original        -0.612262   -0.360484   -0.255914   31
18     w2v2-base + Transformer   91caa           random    long_pause      0.186627    0.395604    0.384615    13
18     w2v2-base + Transformer   91caa           random    long_pause_noi  0.121732    0.450549    0.410256    13
18     w2v2-base + Transformer   91caa           random    no_pause        0.239016    0.241758    0.205128    13
18     w2v2-base + Transformer   91caa           random    original        0.190941    0.434066    0.410256    13
18     w2v2-base + Transformer   d81da           random    long_pause      0.579094    0.563766    0.359788    28
18     w2v2-base + Transformer   d81da           random    long_pause_noi  -0.896643   -0.811713   -0.640212   28
18     w2v2-base + Transformer   d81da           random    no_pause        0.764878    0.805692    0.597884    28
18     w2v2-base + Transformer   d81da           random    original        0.751467    0.646415    0.449735    28
18     w2v2-base + Transformer   6c11c           reverse   long_pause      -0.649619   -0.573529   -0.470588   17
18     w2v2-base + Transformer   6c11c           reverse   long_pause_noi  -0.681058   -0.509804   -0.367647   17
18     w2v2-base + Transformer   6c11c           reverse   no_pause        -0.534148   -0.480392   -0.411765   17
18     w2v2-base + Transformer   6c11c           reverse   original        -0.566893   -0.549020   -0.441176   17
18     w2v2-base + Transformer   78aec           reverse   long_pause      -0.037441   -0.017356   -0.032468   31
18     w2v2-base + Transformer   78aec           reverse   long_pause_noi  -0.234168   -0.338244   -0.192645   31
18     w2v2-base + Transformer   78aec           reverse   no_pause        -0.210109   -0.251261   -0.179657   31
18     w2v2-base + Transformer   78aec           reverse   original        0.071710    0.121494    0.054114    31
18     w2v2-base + Transformer   83aed           reverse   long_pause      0.803733    0.357843    0.220588    17
18     w2v2-base + Transformer   83aed           reverse   long_pause_noi  0.742934    0.352941    0.205882    17
18     w2v2-base + Transformer   83aed           reverse   no_pause        0.795705    0.352941    0.205882    17
18     w2v2-base + Transformer   83aed           reverse   original        0.761291    0.352941    0.205882    17
18     w2v2-base + Transformer   8f532           reverse   long_pause      0.731598    0.114562    0.086300    31
18     w2v2-base + Transformer   8f532           reverse   long_pause_noi  0.962298    0.860428    0.686088    31
