block_s,dataset,train,train_label,pair,base_pair,mode,variant,case_dir,rel_path,global_concat_PCC,global_concat_SRCC,global_concat_KTAU,global_concat_n,global_rm_PCC,global_rm_SRCC,global_rm_KTAU,global_rm_n,block_concat_PCC,block_concat_SRCC,block_concat_KTAU,block_concat_n,block_rm_PCC,block_rm_SRCC,block_rm_KTAU,block_rm_n
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys78aec,dlg_sys6c11c__sys78aec,forward,long_pause,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys78aec/long_pause,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys78aec/long_pause,0.5499117817294088,0.4841897233201581,0.383399209486166,23,0.7086624448055758,0.8616600790513835,0.6996047430830039,23,0.5179624908528238,0.4505468204099597,0.32055754904419553,182,0.8124624653895117,0.7794587259750932,0.6033175492072675,182
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys78aec,dlg_sys6c11c__sys78aec,forward,long_pause_noise,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys78aec/long_pause_noise,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys78aec/long_pause_noise,0.6194597018533021,0.5335968379446641,0.40711462450592883,23,0.7410795348035017,0.8488142292490118,0.6758893280632412,23,0.45182471801787366,0.47479535518086,0.34026392357173635,182,0.7725823836313093,0.7911723879279547,0.6219312297976968,182
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys78aec,dlg_sys6c11c__sys78aec,forward,no_pause,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys78aec/no_pause,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys78aec/no_pause,0.8071548707926879,0.7440711462450592,0.6126482213438735,23,0.6250384505831114,0.816205533596838,0.6521739130434783,23,0.6304222989585567,0.5423732127904091,0.37858394289877895,182,0.8320802613104814,0.8006351223867016,0.6315634840892475,182
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys78aec,dlg_sys6c11c__sys78aec,forward,original,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys78aec/original,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys78aec/original,0.8683145939026463,0.8962450592885376,0.7549407114624506,23,0.6268361466875474,0.7984189723320158,0.6126482213438735,23,0.6678055131107414,0.5894432455894716,0.4177434006042794,182,0.8308286360683786,0.7919920027584756,0.6225820577903691,182
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys83aed,dlg_sys6c11c__sys83aed,forward,long_pause,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys83aed/long_pause,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys83aed/long_pause,0.8372598655700755,0.7684210526315789,0.5555555555555555,19,0.21690962526348262,0.26666666666666666,0.18128654970760236,19,-0.07594574952323546,-0.06766257734255157,-0.04333102960708278,193,0.025933019164638423,-0.03645704067984731,-0.05819646543286736,193
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys83aed,dlg_sys6c11c__sys83aed,forward,long_pause_noise,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys83aed/long_pause_noise,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys83aed/long_pause_noise,0.8170100568025896,0.7964912280701755,0.6140350877192983,19,0.1414648970952562,0.14912280701754385,0.09941520467836257,19,-0.08240512572468221,-0.07858999029494246,-0.05534707513979638,193,-0.08222968604210032,-0.08905867568612102,-0.08655315297304127,193
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys83aed,dlg_sys6c11c__sys83aed,forward,no_pause,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys83aed/no_pause,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys83aed/no_pause,0.8826233670073246,0.8245614035087718,0.6491228070175439,19,-0.2654414963080986,-0.09298245614035087,-0.05263157894736842,19,0.008413662663524425,-0.009360932783813244,-0.0034193480976418707,193,0.07606830954545328,-0.013429933938398206,-0.01821234952894014,193
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys83aed,dlg_sys6c11c__sys83aed,forward,original,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys83aed/original,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys83aed/original,0.8401921938973809,0.843859649122807,0.6959064327485379,19,-0.24408490826500212,-0.07368421052631578,-0.05263157894736842,19,0.0011650763895533767,-0.06109044180333103,-0.04329242421929622,193,0.026717070520588596,0.03652660385229054,0.049416570545951596,193
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys8f532,dlg_sys6c11c__sys8f532,forward,long_pause,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys8f532/long_pause,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys8f532/long_pause,0.6828244859661904,0.4505928853754941,0.3438735177865613,23,0.35090915434817593,0.4950592885375494,0.3754940711462451,23,0.622152812391063,0.559052778969901,0.4004734409396154,186,0.8524392987466314,0.8161705732943031,0.6323205305101453,186
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys8f532,dlg_sys6c11c__sys8f532,forward,long_pause_noise,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys8f532/long_pause_noise,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys8f532/long_pause_noise,0.741556384789376,0.5681818181818182,0.44664031620553357,23,0.45639579330048397,0.5503952569169961,0.4545454545454546,23,0.5763684706402131,0.582274173800065,0.4210029904607802,186,0.8530753186076911,0.8340022078011615,0.674777312965131,186
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys8f532,dlg_sys6c11c__sys8f532,forward,no_pause,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys8f532/no_pause,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys8f532/no_pause,0.5786279787441387,0.44960474308300397,0.3280632411067194,23,0.25664980973438767,0.46739130434782605,0.383399209486166,23,0.7847686547363215,0.6963317843170759,0.5088036579556834,186,0.8592012803792577,0.822620953631629,0.6494522146586483,186
