block_s,dataset,train,train_label,pair,base_pair,mode,variant,case_dir,rel_path,global_cr_PCC,global_cr_SRCC,global_cr_KTAU,global_cr_n,block_cr_PCC,block_cr_SRCC,block_cr_KTAU,block_cr_n
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys78aec,dlg_sys6c11c__sys78aec,forward,long_pause,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys78aec/long_pause,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys78aec/long_pause,0.39987436725752584,0.48023715415019763,0.36758893280632415,23,0.6269612166722728,0.5592273177151758,0.40365704207606734,182
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys78aec,dlg_sys6c11c__sys78aec,forward,long_pause_noise,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys78aec/long_pause_noise,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys78aec/long_pause_noise,0.3315896717701913,0.42094861660079047,0.2885375494071147,23,0.6182702345339732,0.6034489592068736,0.43419541816627016,182
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys78aec,dlg_sys6c11c__sys78aec,forward,no_pause,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys78aec/no_pause,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys78aec/no_pause,0.6640240608093992,0.6679841897233202,0.5019762845849802,23,0.7631913893051605,0.6436246878682248,0.47104559798427664,182
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys78aec,dlg_sys6c11c__sys78aec,forward,original,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys78aec/original,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys78aec/original,0.7400528535086927,0.7974308300395258,0.6363636363636365,23,0.8026091915871023,0.6964094165026723,0.49657115189319706,182
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys83aed,dlg_sys6c11c__sys83aed,forward,long_pause,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys83aed/long_pause,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys83aed/long_pause,0.4911913680396213,0.419298245614035,0.2982456140350877,19,0.2342487644412022,0.19641534249384185,0.1400651363879007,193
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys83aed,dlg_sys6c11c__sys83aed,forward,long_pause_noise,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys83aed/long_pause_noise,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys83aed/long_pause_noise,0.5276534232262613,0.39649122807017545,0.2982456140350877,19,0.30706781098048136,0.29016071796854964,0.20181685204167787,193
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys83aed,dlg_sys6c11c__sys83aed,forward,no_pause,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys83aed/no_pause,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys83aed/no_pause,-0.20110920200966348,-0.09298245614035087,-0.05263157894736842,19,0.20025230138191602,0.18564097165315352,0.12712307050312094,193
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys83aed,dlg_sys6c11c__sys83aed,forward,original,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys83aed/original,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys83aed/original,-0.08958213513650298,0.10526315789473684,0.1111111111111111,19,0.25859539377661667,0.26627321278872035,0.18137550650227988,193
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys8f532,dlg_sys6c11c__sys8f532,forward,long_pause,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys8f532/long_pause,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys8f532/long_pause,0.3082432514866766,0.5355731225296443,0.3992094861660079,23,0.6774892319043622,0.5865010055989517,0.44677030529196876,186
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys8f532,dlg_sys6c11c__sys8f532,forward,long_pause_noise,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys8f532/long_pause_noise,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys8f532/long_pause_noise,0.4726049111913413,0.5879446640316206,0.43873517786561267,23,0.7008473457713367,0.6793436134625017,0.4955178306123384,186
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys8f532,dlg_sys6c11c__sys8f532,forward,no_pause,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys8f532/no_pause,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys8f532/no_pause,0.7881183562785326,0.6966403162055337,0.5177865612648221,23,0.8718819412077466,0.7390746379762883,0.5460734737665212,186
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys8f532,dlg_sys6c11c__sys8f532,forward,original,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys8f532/original,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys8f532/original,0.8535496213731206,0.7737154150197629,0.6442687747035574,23,0.8425060591471811,0.7003198914488507,0.5027954761713024,186
1,bvcc,18,w2v2-base + Transformer,dlg_sys6c11c__sys91caa,dlg_sys6c11c__sys91caa,forward,long_pause,/Users/igorzagubien/BA/workstation/test/local_sqa/local_sqa/results_block_dialogue/dialogue_block1/bvcc/train18/dlg_sys6c11c__sys91caa/long_pause,dialogue_block1/bvcc/train18/dlg_sys6c11c__sys91caa/long_pause,0.24692839382208953,0.37058823529411766,0.25,16,0.1947464460916521,0.20474281547353448,0.1420958501305198,188
