system_id,sysd81da
list_path,/net/db/BVCC/main/DATA/sets/test_mos_list.txt
target_seconds,180.0
start_index,0
sys_count,9
packet_len,28
packet_total_s,183.03106250000002

fn,mos_target,path,dur_s
sysd81da-uttdc2ecab.wav,4.25,/net/db/BVCC/main/DATA/wav/sysd81da-uttdc2ecab.wav,4.8065
sysd81da-uttd54aeed.wav,4.625,/net/db/BVCC/main/DATA/wav/sysd81da-uttd54aeed.wav,4.45825
sysd81da-utteb5a917.wav,4.5,/net/db/BVCC/main/DATA/wav/sysd81da-utteb5a917.wav,8.394
sysd81da-utte081992.wav,4.875,/net/db/BVCC/main/DATA/wav/sysd81da-utte081992.wav,9.8220625
sysd81da-utt59ce229.wav,4.375,/net/db/BVCC/main/DATA/wav/sysd81da-utt59ce229.wav,4.7600625
sysd81da-uttbfc74b2.wav,4.375,/net/db/BVCC/main/DATA/wav/sysd81da-uttbfc74b2.wav,8.6261875
sysd81da-utt9308033.wav,3.625,/net/db/BVCC/main/DATA/wav/sysd81da-utt9308033.wav,2.3568125
sysd81da-utt02a327f.wav,4.375,/net/db/BVCC/main/DATA/wav/sysd81da-utt02a327f.wav,7.720625
sysd81da-utt95fb138.wav,4.25,/net/db/BVCC/main/DATA/wav/sysd81da-utt95fb138.wav,8.4636875
sysd81da-uttdc2ecab.wav,4.25,/net/db/BVCC/main/DATA/wav/sysd81da-uttdc2ecab.wav,4.8065
sysd81da-uttd54aeed.wav,4.625,/net/db/BVCC/main/DATA/wav/sysd81da-uttd54aeed.wav,4.45825
sysd81da-utteb5a917.wav,4.5,/net/db/BVCC/main/DATA/wav/sysd81da-utteb5a917.wav,8.394
sysd81da-utte081992.wav,4.875,/net/db/BVCC/main/DATA/wav/sysd81da-utte081992.wav,9.8220625
sysd81da-utt59ce229.wav,4.375,/net/db/BVCC/main/DATA/wav/sysd81da-utt59ce229.wav,4.7600625
sysd81da-uttbfc74b2.wav,4.375,/net/db/BVCC/main/DATA/wav/sysd81da-uttbfc74b2.wav,8.6261875
sysd81da-utt9308033.wav,3.625,/net/db/BVCC/main/DATA/wav/sysd81da-utt9308033.wav,2.3568125
sysd81da-utt02a327f.wav,4.375,/net/db/BVCC/main/DATA/wav/sysd81da-utt02a327f.wav,7.720625
sysd81da-utt95fb138.wav,4.25,/net/db/BVCC/main/DATA/wav/sysd81da-utt95fb138.wav,8.4636875
sysd81da-uttdc2ecab.wav,4.25,/net/db/BVCC/main/DATA/wav/sysd81da-uttdc2ecab.wav,4.8065
sysd81da-uttd54aeed.wav,4.625,/net/db/BVCC/main/DATA/wav/sysd81da-uttd54aeed.wav,4.45825
sysd81da-utteb5a917.wav,4.5,/net/db/BVCC/main/DATA/wav/sysd81da-utteb5a917.wav,8.394
sysd81da-utte081992.wav,4.875,/net/db/BVCC/main/DATA/wav/sysd81da-utte081992.wav,9.8220625
sysd81da-utt59ce229.wav,4.375,/net/db/BVCC/main/DATA/wav/sysd81da-utt59ce229.wav,4.7600625
sysd81da-uttbfc74b2.wav,4.375,/net/db/BVCC/main/DATA/wav/sysd81da-uttbfc74b2.wav,8.6261875
sysd81da-utt9308033.wav,3.625,/net/db/BVCC/main/DATA/wav/sysd81da-utt9308033.wav,2.3568125
sysd81da-utt02a327f.wav,4.375,/net/db/BVCC/main/DATA/wav/sysd81da-utt02a327f.wav,7.720625
sysd81da-utt95fb138.wav,4.25,/net/db/BVCC/main/DATA/wav/sysd81da-utt95fb138.wav,8.4636875
sysd81da-uttdc2ecab.wav,4.25,/net/db/BVCC/main/DATA/wav/sysd81da-uttdc2ecab.wav,4.8065
