block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw
0.0,5.0,2.5,4.253416,3.438942
5.0,10.0,7.5,4.15538,4.111111
10.0,15.0,12.5,4.269163,2.699867
15.0,20.0,17.5,4.228395,3.0
20.0,25.0,22.5,3.930707,3.25
25.0,30.0,27.5,4.328597,3.333333
30.0,35.0,32.5,3.809186,3.235269
35.0,40.0,37.5,4.138446,3.454545
40.0,45.0,42.5,4.390492,3.166667
45.0,50.0,47.5,3.894894,4.047224
50.0,55.0,52.5,4.176313,3.300845
55.0,60.0,57.5,3.759012,3.083333
65.0,70.0,67.5,3.90957,3.0
70.0,75.0,72.5,3.844032,2.615385
85.0,90.0,87.5,3.818133,3.7
90.0,95.0,92.5,3.677444,3.9
95.0,100.0,97.5,4.263878,3.727273
100.0,105.0,102.5,3.980835,3.416667
105.0,110.0,107.5,4.154086,4.166667
110.0,115.0,112.5,3.661899,2.769231
115.0,120.0,117.5,3.998424,2.7
120.0,125.0,122.5,4.15512,2.859451
125.0,130.0,127.5,3.656706,3.448732
135.0,140.0,137.5,4.090048,3.268904
140.0,145.0,142.5,4.102586,3.076923
145.0,150.0,147.5,3.890148,3.625
150.0,155.0,152.5,4.264585,3.545455
155.0,160.0,157.5,4.044972,3.615385
160.0,165.0,162.5,3.76704,2.909091
165.0,170.0,167.5,3.902678,3.272727
175.0,180.0,177.5,3.653448,3.75
