block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw
0.0,1.0,0.5,4.017186,3.1
7.0,8.0,7.5,4.11537,2.727273
10.0,11.0,10.5,4.43101,3.428571
15.0,16.0,15.5,3.93996,2.846154
26.0,27.0,26.5,4.338172,3.7
30.0,31.0,30.5,3.841522,2.666667
34.0,35.0,34.5,4.331258,3.25
38.0,39.0,38.5,4.125644,2.166667
48.0,49.0,48.5,3.658492,2.909091
53.0,54.0,53.5,4.310061,2.777778
61.0,62.0,61.5,3.959394,2.6
66.0,67.0,66.5,4.199874,3.583333
71.0,72.0,71.5,4.016245,2.0
78.0,79.0,78.5,3.823077,2.25
85.0,86.0,85.5,4.242194,2.7
91.0,92.0,91.5,3.820696,2.714286
94.0,95.0,94.5,4.083247,2.571429
104.0,105.0,104.5,4.33779,2.6
111.0,112.0,111.5,4.142165,3.875
113.0,114.0,113.5,4.082248,2.333333
120.0,121.0,120.5,4.355012,2.666667
130.0,131.0,130.5,3.415256,2.909091
134.0,135.0,134.5,4.033696,2.454545
140.0,141.0,140.5,4.181849,3.416667
147.0,148.0,147.5,4.144231,2.666667
157.0,158.0,157.5,4.085124,3.285714
166.0,167.0,166.5,3.983,2.615385
172.0,173.0,172.5,3.929771,2.6
