block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw
0.0,5.0,2.5,4.100696,3.1
5.0,10.0,7.5,4.084912,2.727273
10.0,15.0,12.5,4.357354,3.428571
15.0,20.0,17.5,3.864722,2.846154
25.0,30.0,27.5,4.243168,3.7
30.0,35.0,32.5,4.077699,3.003288
35.0,40.0,37.5,4.188745,2.166667
45.0,50.0,47.5,4.189502,2.909091
50.0,55.0,52.5,4.218009,2.777778
60.0,65.0,62.5,4.060495,2.6
65.0,70.0,67.5,4.169626,3.583333
70.0,75.0,72.5,4.154589,2.0
75.0,80.0,77.5,3.594939,2.25
85.0,90.0,87.5,4.258092,2.7
90.0,95.0,92.5,3.99451,2.609106
100.0,105.0,102.5,4.340514,2.6
110.0,115.0,112.5,4.189313,2.790494
120.0,125.0,122.5,4.207514,2.666667
130.0,135.0,132.5,3.703628,2.607607
140.0,145.0,142.5,4.098917,3.416667
145.0,150.0,147.5,4.179662,2.666667
155.0,160.0,157.5,4.02356,3.285714
165.0,170.0,167.5,4.00025,2.615385
170.0,175.0,172.5,4.168987,2.6
