block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw
0.0,1.0,0.5,4.554961,3.888889
2.0,3.0,2.5,3.550449,3.8
5.0,6.0,5.5,3.956972,3.727273
8.0,9.0,8.5,4.089518,4.1
11.0,12.0,11.5,4.352776,4.0
14.0,15.0,14.5,4.227482,3.4
18.0,19.0,18.5,4.270589,3.461538
21.0,22.0,21.5,3.917361,3.384615
25.0,26.0,25.5,4.062266,3.818182
27.0,28.0,27.5,3.906156,3.666667
29.0,30.0,29.5,4.017617,3.6
32.0,33.0,32.5,4.09246,3.25
36.0,37.0,36.5,4.247818,3.125
43.0,44.0,43.5,3.849349,3.307692
48.0,49.0,48.5,4.218835,3.727273
50.0,51.0,50.5,4.046874,3.4
55.0,56.0,55.5,3.960682,4.083333
58.0,59.0,58.5,4.121902,3.923077
62.0,63.0,62.5,4.208418,3.333333
64.0,65.0,64.5,4.345669,3.75
72.0,73.0,72.5,4.210676,3.875
74.0,75.0,74.5,4.175706,4.384615
76.0,77.0,76.5,4.130077,3.25
82.0,83.0,82.5,4.264358,3.1
85.0,86.0,85.5,4.399222,3.6
88.0,89.0,88.5,4.456617,4.0
90.0,91.0,90.5,3.960598,3.6
94.0,95.0,94.5,3.896878,3.416667
95.0,96.0,95.5,4.478387,3.571429
97.0,98.0,97.5,4.124992,3.6
100.0,101.0,100.5,3.76959,3.7
103.0,104.0,103.5,3.904495,3.333333
107.0,108.0,107.5,4.218111,4.222222
110.0,111.0,110.5,4.143903,3.916667
111.0,112.0,111.5,4.369886,3.461538
118.0,119.0,118.5,4.110703,3.545455
127.0,128.0,127.5,4.049705,4.111111
132.0,133.0,132.5,4.474158,4.266667
137.0,138.0,137.5,4.045521,4.090909
140.0,141.0,140.5,4.243278,3.555556
142.0,143.0,142.5,4.166823,3.857143
149.0,150.0,149.5,4.243895,3.625
156.0,157.0,156.5,4.334447,3.555556
160.0,161.0,160.5,4.147723,3.888889
162.0,163.0,162.5,4.302876,3.5
169.0,170.0,169.5,4.305188,3.928571
172.0,173.0,172.5,4.137844,4.0
