block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw
0.0,1.0,0.5,3.293012,3.090909
3.0,4.0,3.5,3.881017,2.727273
6.0,7.0,6.5,4.107915,3.818182
8.0,9.0,8.5,4.011139,3.166667
11.0,12.0,11.5,3.604764,3.333333
14.0,15.0,14.5,3.635736,3.25
16.0,17.0,16.5,3.92028,3.714286
18.0,19.0,18.5,3.61087,3.071429
20.0,21.0,20.5,3.917799,4.2
24.0,25.0,24.5,2.236537,2.076923
26.0,27.0,26.5,3.734666,3.083333
29.0,30.0,29.5,4.053238,2.857143
33.0,34.0,33.5,3.657801,4.0
36.0,37.0,36.5,3.691707,2.571429
40.0,41.0,40.5,3.702541,4.0
42.0,43.0,42.5,3.39644,3.307692
45.0,46.0,45.5,3.721409,2.7
49.0,50.0,49.5,3.847981,3.384615
53.0,54.0,53.5,4.115965,3.866667
55.0,56.0,55.5,3.706101,3.727273
59.0,60.0,59.5,3.56813,3.0
62.0,63.0,62.5,2.825208,2.142857
65.0,66.0,65.5,4.14256,3.6
69.0,70.0,69.5,3.587024,2.727273
72.0,73.0,72.5,3.885759,3.111111
75.0,76.0,75.5,4.005231,3.636364
79.0,80.0,79.5,3.446667,3.444444
82.0,83.0,82.5,3.578399,2.636364
84.0,85.0,84.5,3.653343,3.125
88.0,89.0,88.5,3.903155,3.363636
94.0,95.0,94.5,3.601307,2.6
98.0,99.0,98.5,4.060643,2.222222
100.0,101.0,100.5,4.007978,3.461538
104.0,105.0,104.5,3.823597,2.916667
107.0,108.0,107.5,3.786179,2.666667
111.0,112.0,111.5,3.866484,3.75
115.0,116.0,115.5,4.342809,3.818182
119.0,120.0,119.5,3.775039,3.545455
122.0,123.0,122.5,3.441576,3.166667
128.0,129.0,128.5,3.639335,2.75
131.0,132.0,131.5,4.053929,3.461538
137.0,138.0,137.5,4.024194,3.615385
139.0,140.0,139.5,3.495904,2.9
141.0,142.0,141.5,3.547474,4.0
143.0,144.0,143.5,3.959264,3.181818
146.0,147.0,146.5,2.917927,2.142857
149.0,150.0,149.5,3.339289,3.1
150.0,151.0,150.5,3.667042,3.153846
152.0,153.0,152.5,3.876374,3.5
158.0,159.0,158.5,3.702622,3.0
163.0,164.0,163.5,4.046477,3.3
165.0,166.0,165.5,3.508443,3.266667
167.0,168.0,167.5,3.692991,3.727273
170.0,171.0,170.5,3.381304,3.75
174.0,175.0,174.5,3.375285,3.454545
