block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw
0.0,5.0,2.5,3.664606,3.261326
5.0,10.0,7.5,3.55734,3.397721
10.0,15.0,12.5,3.463983,3.545455
15.0,20.0,17.5,3.944261,3.511878
20.0,25.0,22.5,3.023745,4.0
25.0,30.0,27.5,3.772992,3.097202
30.0,35.0,32.5,3.643841,3.25
35.0,40.0,37.5,3.800943,3.429526
40.0,45.0,42.5,4.024931,3.439978
45.0,50.0,47.5,3.395277,4.0
50.0,55.0,52.5,3.51869,3.454545
55.0,60.0,57.5,3.567667,3.444444
60.0,65.0,62.5,3.476296,3.139128
65.0,70.0,67.5,3.42829,2.6
70.0,75.0,72.5,3.926051,4.0
75.0,80.0,77.5,3.773216,2.874484
80.0,85.0,82.5,3.755345,3.727273
85.0,90.0,87.5,3.414614,3.689292
90.0,95.0,92.5,3.81744,3.064535
95.0,100.0,97.5,4.004411,3.0
100.0,105.0,102.5,3.290091,2.712329
105.0,110.0,107.5,3.828666,3.769131
110.0,115.0,112.5,3.239654,3.818182
115.0,120.0,117.5,3.541453,3.059006
120.0,125.0,122.5,3.740337,2.727273
125.0,130.0,127.5,3.511543,2.961777
130.0,135.0,132.5,4.075422,3.6
135.0,140.0,137.5,3.238446,2.7
140.0,145.0,142.5,3.761874,3.125054
145.0,150.0,147.5,3.920485,3.363636
150.0,155.0,152.5,2.977082,2.443404
155.0,160.0,157.5,3.770887,2.727273
160.0,165.0,162.5,3.448933,2.857143
165.0,170.0,167.5,3.423936,3.515075
170.0,175.0,172.5,3.711819,2.75
175.0,180.0,177.5,3.827169,3.636364
