system_id,sys6c11c
list_path,/net/db/BVCC/main/DATA/sets/test_mos_list.txt
target_seconds,180.0
start_index,0
sys_count,38
packet_len,17
packet_total_s,188.69168750000006

fn,mos_target,path,dur_s
sys6c11c-uttcfbeaa0.wav,3.5,/net/db/BVCC/main/DATA/wav/sys6c11c-uttcfbeaa0.wav,9.1476875
sys6c11c-utt430bc9d.wav,3.5,/net/db/BVCC/main/DATA/wav/sys6c11c-utt430bc9d.wav,10.84475
sys6c11c-uttaa6814e.wav,3.375,/net/db/BVCC/main/DATA/wav/sys6c11c-uttaa6814e.wav,5.7134375
sys6c11c-utt9d6c3b4.wav,3.0,/net/db/BVCC/main/DATA/wav/sys6c11c-utt9d6c3b4.wav,15.277
sys6c11c-utt13d6333.wav,3.625,/net/db/BVCC/main/DATA/wav/sys6c11c-utt13d6333.wav,4.68025
sys6c11c-uttf771f0f.wav,3.25,/net/db/BVCC/main/DATA/wav/sys6c11c-uttf771f0f.wav,14.1528125
sys6c11c-utt5a77f4e.wav,2.625,/net/db/BVCC/main/DATA/wav/sys6c11c-utt5a77f4e.wav,13.81775
sys6c11c-utt80628ff.wav,2.75,/net/db/BVCC/main/DATA/wav/sys6c11c-utt80628ff.wav,6.2265625
sys6c11c-utt0d6c813.wav,3.5,/net/db/BVCC/main/DATA/wav/sys6c11c-utt0d6c813.wav,11.0210625
sys6c11c-utt418e043.wav,3.5,/net/db/BVCC/main/DATA/wav/sys6c11c-utt418e043.wav,13.5336875
sys6c11c-utt3ae0696.wav,3.0,/net/db/BVCC/main/DATA/wav/sys6c11c-utt3ae0696.wav,8.5028125
sys6c11c-utt4ef831e.wav,3.125,/net/db/BVCC/main/DATA/wav/sys6c11c-utt4ef831e.wav,11.03275
sys6c11c-utt550b2fa.wav,2.875,/net/db/BVCC/main/DATA/wav/sys6c11c-utt550b2fa.wav,17.6895
sys6c11c-utt0b83d68.wav,2.5,/net/db/BVCC/main/DATA/wav/sys6c11c-utt0b83d68.wav,12.12225
sys6c11c-uttb0f10b9.wav,4.0,/net/db/BVCC/main/DATA/wav/sys6c11c-uttb0f10b9.wav,10.7188125
sys6c11c-uttbef5e5c.wav,3.0,/net/db/BVCC/main/DATA/wav/sys6c11c-uttbef5e5c.wav,14.0228125
sys6c11c-utt3ab7fb1.wav,2.625,/net/db/BVCC/main/DATA/wav/sys6c11c-utt3ab7fb1.wav,10.18775
