block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw
0.0,1.0,0.5,4.373592,3.888889
2.0,3.0,2.5,3.495533,3.8
5.0,6.0,5.5,3.704845,3.727273
8.0,9.0,8.5,3.827368,4.1
11.0,12.0,11.5,4.113411,4.0
14.0,15.0,14.5,4.052618,3.4
18.0,19.0,18.5,4.156565,3.461538
21.0,22.0,21.5,3.474125,3.384615
25.0,26.0,25.5,4.205993,3.818182
27.0,28.0,27.5,4.06604,3.666667
29.0,30.0,29.5,4.251707,3.6
32.0,33.0,32.5,3.914649,3.25
36.0,37.0,36.5,4.136509,3.125
43.0,44.0,43.5,3.728825,3.307692
48.0,49.0,48.5,4.245378,3.727273
50.0,51.0,50.5,4.02689,3.4
55.0,56.0,55.5,3.973556,4.083333
58.0,59.0,58.5,3.962395,3.923077
62.0,63.0,62.5,3.946919,3.333333
64.0,65.0,64.5,4.267964,3.75
72.0,73.0,72.5,4.058835,3.875
74.0,75.0,74.5,4.180823,4.384615
76.0,77.0,76.5,4.093781,3.25
82.0,83.0,82.5,4.128514,3.1
85.0,86.0,85.5,4.232997,3.6
88.0,89.0,88.5,4.304888,4.0
90.0,91.0,90.5,4.027456,3.6
94.0,95.0,94.5,3.958204,3.416667
95.0,96.0,95.5,4.429745,3.571429
97.0,98.0,97.5,4.063174,3.6
100.0,101.0,100.5,3.422003,3.7
103.0,104.0,103.5,4.000838,3.333333
107.0,108.0,107.5,4.076303,4.222222
110.0,111.0,110.5,4.012584,3.916667
111.0,112.0,111.5,4.321555,3.461538
118.0,119.0,118.5,4.331316,3.545455
127.0,128.0,127.5,3.927508,4.111111
132.0,133.0,132.5,4.368348,4.266667
137.0,138.0,137.5,3.810006,4.090909
140.0,141.0,140.5,4.103219,3.555556
142.0,143.0,142.5,3.968857,3.857143
149.0,150.0,149.5,4.056291,3.625
156.0,157.0,156.5,4.384289,3.555556
160.0,161.0,160.5,4.137606,3.888889
162.0,163.0,162.5,4.164468,3.5
169.0,170.0,169.5,4.088234,3.928571
172.0,173.0,172.5,3.863605,4.0
