block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw
0.0,1.0,0.5,4.178467,2.615385
12.0,13.0,12.5,3.957382,3.0
18.0,19.0,18.5,3.991932,3.625
24.0,25.0,24.5,4.092317,3.769231
26.0,27.0,26.5,4.135629,4.0
30.0,31.0,30.5,4.018977,3.666667
32.0,33.0,32.5,3.81542,2.909091
40.0,41.0,40.5,3.967837,2.818182
43.0,44.0,43.5,3.595085,3.1
46.0,47.0,46.5,3.67631,3.454545
53.0,54.0,53.5,4.303495,3.1
59.0,60.0,59.5,4.381093,3.615385
64.0,65.0,64.5,3.725251,3.416667
69.0,70.0,69.5,3.709784,3.75
76.0,77.0,76.5,3.496278,2.769231
82.0,83.0,82.5,3.923439,3.75
84.0,85.0,84.5,4.08646,3.727273
87.0,88.0,87.5,4.128903,3.333333
91.0,92.0,91.5,4.171083,3.25
97.0,98.0,97.5,4.039183,3.166667
100.0,101.0,100.5,3.833193,2.7
105.0,106.0,105.5,4.103644,3.0
109.0,110.0,109.5,4.106081,3.272727
115.0,116.0,115.5,4.214691,2.583333
118.0,119.0,118.5,3.573092,3.7
126.0,127.0,126.5,4.109303,3.083333
134.0,135.0,134.5,3.839058,3.363636
137.0,138.0,137.5,4.372773,3.545455
139.0,140.0,139.5,3.84014,3.090909
145.0,146.0,145.5,4.09331,3.9
150.0,151.0,150.5,4.212932,2.625
152.0,153.0,152.5,4.313165,3.454545
158.0,159.0,158.5,4.247245,3.3
163.0,164.0,163.5,3.797506,4.090909
167.0,168.0,167.5,3.828747,3.076923
170.0,171.0,170.5,3.789328,3.428571
172.0,173.0,172.5,4.149919,4.166667
175.0,176.0,175.5,4.042109,3.0
178.0,179.0,178.5,4.07751,4.111111
