block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw
0.0,5.0,2.5,4.097392,3.438942
5.0,10.0,7.5,4.165624,4.111111
10.0,15.0,12.5,4.122299,2.699867
15.0,20.0,17.5,4.371466,3.0
20.0,25.0,22.5,4.162516,3.25
25.0,30.0,27.5,4.361713,3.333333
30.0,35.0,32.5,3.378953,3.235269
35.0,40.0,37.5,4.292649,3.454545
40.0,45.0,42.5,4.34376,3.166667
45.0,50.0,47.5,4.227476,4.047224
50.0,55.0,52.5,4.108639,3.300845
55.0,60.0,57.5,3.521495,3.083333
65.0,70.0,67.5,3.664367,3.0
70.0,75.0,72.5,3.736021,2.615385
85.0,90.0,87.5,3.190481,3.7
90.0,95.0,92.5,3.546724,3.9
95.0,100.0,97.5,4.281402,3.727273
100.0,105.0,102.5,3.510111,3.416667
105.0,110.0,107.5,4.27879,4.166667
110.0,115.0,112.5,3.470642,2.769231
115.0,120.0,117.5,3.959951,2.7
120.0,125.0,122.5,4.213959,2.859451
125.0,130.0,127.5,3.83528,3.448732
135.0,140.0,137.5,4.239788,3.268904
140.0,145.0,142.5,4.218743,3.076923
145.0,150.0,147.5,3.687286,3.625
150.0,155.0,152.5,4.420465,3.545455
155.0,160.0,157.5,4.031187,3.615385
160.0,165.0,162.5,3.816337,2.909091
165.0,170.0,167.5,3.853583,3.272727
175.0,180.0,177.5,3.743689,3.75
