system_id,sys91caa
list_path,/net/db/BVCC/main/DATA/sets/test_mos_list.txt
target_seconds,180.0
start_index,0
sys_count,38
packet_len,13
packet_total_s,186.28187500000004

fn,mos_target,path,dur_s
sys91caa-utt69e5086.wav,2.125,/net/db/BVCC/main/DATA/wav/sys91caa-utt69e5086.wav,14.2451875
sys91caa-uttaee7629.wav,3.0,/net/db/BVCC/main/DATA/wav/sys91caa-uttaee7629.wav,13.230125
sys91caa-utt0ca131c.wav,2.75,/net/db/BVCC/main/DATA/wav/sys91caa-utt0ca131c.wav,6.7550625
sys91caa-uttb80b406.wav,3.0,/net/db/BVCC/main/DATA/wav/sys91caa-uttb80b406.wav,20.4501875
sys91caa-utt9459d46.wav,2.5,/net/db/BVCC/main/DATA/wav/sys91caa-utt9459d46.wav,6.1700625
sys91caa-uttfa503fc.wav,2.625,/net/db/BVCC/main/DATA/wav/sys91caa-uttfa503fc.wav,16.250125
sys91caa-uttdf00646.wav,3.625,/net/db/BVCC/main/DATA/wav/sys91caa-uttdf00646.wav,18.7601875
sys91caa-utt9ed06b2.wav,3.0,/net/db/BVCC/main/DATA/wav/sys91caa-utt9ed06b2.wav,11.3801875
sys91caa-utt39e1e6c.wav,2.25,/net/db/BVCC/main/DATA/wav/sys91caa-utt39e1e6c.wav,13.900125
sys91caa-utt2b38b6e.wav,2.875,/net/db/BVCC/main/DATA/wav/sys91caa-utt2b38b6e.wav,18.3251875
sys91caa-utte6fd033.wav,2.75,/net/db/BVCC/main/DATA/wav/sys91caa-utte6fd033.wav,12.080125
sys91caa-utt8685cfc.wav,3.0,/net/db/BVCC/main/DATA/wav/sys91caa-utt8685cfc.wav,15.3701875
sys91caa-utt66c055e.wav,2.75,/net/db/BVCC/main/DATA/wav/sys91caa-utt66c055e.wav,19.365125
