system_id,sys8f532
list_path,/net/db/BVCC/main/DATA/sets/test_mos_list.txt
target_seconds,180.0
start_index,0
sys_count,10
packet_len,31
packet_total_s,180.0125

fn,mos_target,path,dur_s
sys8f532-utt2f825dd.wav,4.875,/net/db/BVCC/main/DATA/wav/sys8f532-utt2f825dd.wav,1.92275
sys8f532-uttc43aa19.wav,4.25,/net/db/BVCC/main/DATA/wav/sys8f532-uttc43aa19.wav,9.852375
sys8f532-utt73793bc.wav,3.75,/net/db/BVCC/main/DATA/wav/sys8f532-utt73793bc.wav,6.6015625
sys8f532-uttd5819aa.wav,4.25,/net/db/BVCC/main/DATA/wav/sys8f532-uttd5819aa.wav,4.9645625
sys8f532-utt34cd40b.wav,4.5,/net/db/BVCC/main/DATA/wav/sys8f532-utt34cd40b.wav,6.3229375
sys8f532-utt3f4b7d6.wav,4.5,/net/db/BVCC/main/DATA/wav/sys8f532-utt3f4b7d6.wav,6.9034375
sys8f532-utta85118e.wav,4.25,/net/db/BVCC/main/DATA/wav/sys8f532-utta85118e.wav,4.744
sys8f532-utt6ee4354.wav,4.625,/net/db/BVCC/main/DATA/wav/sys8f532-utt6ee4354.wav,5.1155
sys8f532-utt8e4f5d1.wav,4.375,/net/db/BVCC/main/DATA/wav/sys8f532-utt8e4f5d1.wav,6.288125
sys8f532-utt93826e8.wav,4.75,/net/db/BVCC/main/DATA/wav/sys8f532-utt93826e8.wav,6.648
sys8f532-utt2f825dd.wav,4.875,/net/db/BVCC/main/DATA/wav/sys8f532-utt2f825dd.wav,1.92275
sys8f532-uttc43aa19.wav,4.25,/net/db/BVCC/main/DATA/wav/sys8f532-uttc43aa19.wav,9.852375
sys8f532-utt73793bc.wav,3.75,/net/db/BVCC/main/DATA/wav/sys8f532-utt73793bc.wav,6.6015625
sys8f532-uttd5819aa.wav,4.25,/net/db/BVCC/main/DATA/wav/sys8f532-uttd5819aa.wav,4.9645625
sys8f532-utt34cd40b.wav,4.5,/net/db/BVCC/main/DATA/wav/sys8f532-utt34cd40b.wav,6.3229375
sys8f532-utt3f4b7d6.wav,4.5,/net/db/BVCC/main/DATA/wav/sys8f532-utt3f4b7d6.wav,6.9034375
sys8f532-utta85118e.wav,4.25,/net/db/BVCC/main/DATA/wav/sys8f532-utta85118e.wav,4.744
sys8f532-utt6ee4354.wav,4.625,/net/db/BVCC/main/DATA/wav/sys8f532-utt6ee4354.wav,5.1155
sys8f532-utt8e4f5d1.wav,4.375,/net/db/BVCC/main/DATA/wav/sys8f532-utt8e4f5d1.wav,6.288125
sys8f532-utt93826e8.wav,4.75,/net/db/BVCC/main/DATA/wav/sys8f532-utt93826e8.wav,6.648
sys8f532-utt2f825dd.wav,4.875,/net/db/BVCC/main/DATA/wav/sys8f532-utt2f825dd.wav,1.92275
sys8f532-uttc43aa19.wav,4.25,/net/db/BVCC/main/DATA/wav/sys8f532-uttc43aa19.wav,9.852375
sys8f532-utt73793bc.wav,3.75,/net/db/BVCC/main/DATA/wav/sys8f532-utt73793bc.wav,6.6015625
sys8f532-uttd5819aa.wav,4.25,/net/db/BVCC/main/DATA/wav/sys8f532-uttd5819aa.wav,4.9645625
sys8f532-utt34cd40b.wav,4.5,/net/db/BVCC/main/DATA/wav/sys8f532-utt34cd40b.wav,6.3229375
sys8f532-utt3f4b7d6.wav,4.5,/net/db/BVCC/main/DATA/wav/sys8f532-utt3f4b7d6.wav,6.9034375
sys8f532-utta85118e.wav,4.25,/net/db/BVCC/main/DATA/wav/sys8f532-utta85118e.wav,4.744
sys8f532-utt6ee4354.wav,4.625,/net/db/BVCC/main/DATA/wav/sys8f532-utt6ee4354.wav,5.1155
sys8f532-utt8e4f5d1.wav,4.375,/net/db/BVCC/main/DATA/wav/sys8f532-utt8e4f5d1.wav,6.288125
sys8f532-utt93826e8.wav,4.75,/net/db/BVCC/main/DATA/wav/sys8f532-utt93826e8.wav,6.648
sys8f532-utt2f825dd.wav,4.875,/net/db/BVCC/main/DATA/wav/sys8f532-utt2f825dd.wav,1.92275
