block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw
0.0,5.0,2.5,4.240738,3.438942
5.0,10.0,7.5,4.104545,4.111111
10.0,15.0,12.5,4.181185,2.699867
15.0,20.0,17.5,4.283047,3.0
20.0,25.0,22.5,4.073434,3.25
25.0,30.0,27.5,4.386952,3.333333
30.0,35.0,32.5,3.731115,3.235269
35.0,40.0,37.5,4.045321,3.454545
40.0,45.0,42.5,4.24016,3.166667
45.0,50.0,47.5,3.656423,4.047224
50.0,55.0,52.5,3.951676,3.300845
55.0,60.0,57.5,3.671186,3.083333
65.0,70.0,67.5,3.74318,3.0
70.0,75.0,72.5,3.678732,2.615385
85.0,90.0,87.5,3.552823,3.7
90.0,95.0,92.5,3.694384,3.9
95.0,100.0,97.5,4.286282,3.727273
100.0,105.0,102.5,3.672198,3.416667
105.0,110.0,107.5,3.987513,4.166667
110.0,115.0,112.5,3.563703,2.769231
115.0,120.0,117.5,3.573891,2.7
120.0,125.0,122.5,4.169539,2.859451
125.0,130.0,127.5,3.727741,3.448732
135.0,140.0,137.5,4.33719,3.268904
140.0,145.0,142.5,3.793254,3.076923
145.0,150.0,147.5,3.827444,3.625
150.0,155.0,152.5,4.257602,3.545455
155.0,160.0,157.5,4.008062,3.615385
160.0,165.0,162.5,3.595537,2.909091
165.0,170.0,167.5,4.038676,3.272727
175.0,180.0,177.5,3.637256,3.75
