train_id,18
sys_a,sys78aec
sys_b,sys83aed
target_seconds,180.0
block_seconds,20.0
start_index,0
list_path,/net/db/BVCC/main/DATA/sets/test_mos_list.txt
wav_root,/net/db/BVCC/main/DATA/wav

utt,mos_target,path,dur_s
sys78aec-uttf30188b.wav,3.25,/net/db/BVCC/main/DATA/wav/sys78aec-uttf30188b.wav,4.7949375
sys83aed-utta133f0a.wav,3.125,/net/db/BVCC/main/DATA/wav/sys83aed-utta133f0a.wav,9.685
sys78aec-utt151ad99.wav,4.375,/net/db/BVCC/main/DATA/wav/sys78aec-utt151ad99.wav,1.729875
sys83aed-utt99821b8.wav,3.625,/net/db/BVCC/main/DATA/wav/sys83aed-utt99821b8.wav,9.87
sys78aec-utt53b5eb6.wav,4.75,/net/db/BVCC/main/DATA/wav/sys78aec-utt53b5eb6.wav,9.5898125
sys83aed-utt17290c9.wav,3.625,/net/db/BVCC/main/DATA/wav/sys83aed-utt17290c9.wav,4.82
sys78aec-uttcf77e64.wav,4.125,/net/db/BVCC/main/DATA/wav/sys78aec-uttcf77e64.wav,8.8584375
sys83aed-uttc34d946.wav,3.5,/net/db/BVCC/main/DATA/wav/sys83aed-uttc34d946.wav,14.68
sys78aec-utt60aacbe.wav,4.375,/net/db/BVCC/main/DATA/wav/sys78aec-utt60aacbe.wav,4.93425
sys83aed-utt6edc479.wav,2.875,/net/db/BVCC/main/DATA/wav/sys83aed-utt6edc479.wav,4.365
sys78aec-utt801cd92.wav,4.375,/net/db/BVCC/main/DATA/wav/sys78aec-utt801cd92.wav,5.1780625
sys83aed-uttbe76fe6.wav,3.125,/net/db/BVCC/main/DATA/wav/sys83aed-uttbe76fe6.wav,13.265
sys78aec-utt6ad1fc7.wav,4.125,/net/db/BVCC/main/DATA/wav/sys78aec-utt6ad1fc7.wav,4.527875
sys83aed-utt63e152d.wav,2.875,/net/db/BVCC/main/DATA/wav/sys83aed-utt63e152d.wav,13.97
sys78aec-uttb5d570a.wav,4.625,/net/db/BVCC/main/DATA/wav/sys78aec-uttb5d570a.wav,6.4203125
sys83aed-utt94f44ab.wav,3.625,/net/db/BVCC/main/DATA/wav/sys83aed-utt94f44ab.wav,6.89
sys78aec-utte8c4dbe.wav,4.75,/net/db/BVCC/main/DATA/wav/sys78aec-utte8c4dbe.wav,1.5093125
sys83aed-utt1e7f9e1.wav,3.375,/net/db/BVCC/main/DATA/wav/sys83aed-utt1e7f9e1.wav,10.815
sys78aec-uttf5a7b89.wav,4.5,/net/db/BVCC/main/DATA/wav/sys78aec-uttf5a7b89.wav,4.644
sys83aed-utt3d7906a.wav,2.375,/net/db/BVCC/main/DATA/wav/sys83aed-utt3d7906a.wav,13.155
sys78aec-uttf215489.wav,4.125,/net/db/BVCC/main/DATA/wav/sys78aec-uttf215489.wav,5.72375
sys83aed-utt7ca005d.wav,2.875,/net/db/BVCC/main/DATA/wav/sys83aed-utt7ca005d.wav,8.835
sys78aec-uttbdcf705.wav,3.125,/net/db/BVCC/main/DATA/wav/sys78aec-uttbdcf705.wav,7.430375
sys83aed-utt6efabde.wav,3.25,/net/db/BVCC/main/DATA/wav/sys83aed-utt6efabde.wav,11.41
