block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw
0.0,1.0,0.5,3.975975,4.111111
4.0,5.0,4.5,4.306815,3.555556
8.0,9.0,8.5,4.357031,3.4
13.0,14.0,13.5,4.027638,3.923077
17.0,18.0,17.5,3.873384,3.6
19.0,20.0,19.5,4.259586,3.6
22.0,23.0,22.5,4.262282,4.0
31.0,32.0,31.5,4.440403,4.0
33.0,34.0,33.5,4.19044,3.888889
36.0,37.0,36.5,4.178988,3.857143
43.0,44.0,43.5,4.50708,4.266667
48.0,49.0,48.5,3.739323,3.666667
50.0,51.0,50.5,4.043514,3.916667
52.0,53.0,52.5,3.852796,3.307692
57.0,58.0,57.5,4.136901,3.6
61.0,62.0,61.5,4.162837,3.25
65.0,66.0,65.5,4.358128,3.727273
67.0,68.0,67.5,3.875395,4.090909
70.0,71.0,70.5,3.859925,3.7
73.0,74.0,73.5,3.788147,3.384615
76.0,77.0,76.5,4.170268,3.1
79.0,80.0,79.5,4.106655,4.1
82.0,83.0,82.5,4.37008,3.888889
85.0,86.0,85.5,3.610071,3.8
88.0,89.0,88.5,4.131896,3.75
95.0,96.0,95.5,3.900364,3.416667
97.0,98.0,97.5,4.186368,3.4
101.0,102.0,101.5,4.365264,4.222222
104.0,105.0,104.5,4.25317,3.461538
107.0,108.0,107.5,4.231977,4.0
110.0,111.0,110.5,4.346684,3.545455
119.0,120.0,119.5,4.371705,3.571429
121.0,122.0,121.5,4.194883,3.333333
124.0,125.0,124.5,4.059072,3.727273
127.0,128.0,127.5,4.296992,3.5
134.0,135.0,134.5,4.23367,4.384615
136.0,137.0,136.5,4.181881,3.625
142.0,143.0,142.5,4.307467,3.928571
146.0,147.0,146.5,4.016297,3.125
152.0,153.0,152.5,4.178586,3.25
159.0,160.0,159.5,4.071132,3.333333
161.0,162.0,161.5,4.409082,3.461538
169.0,170.0,169.5,4.249781,3.6
171.0,172.0,171.5,4.138638,3.875
174.0,175.0,174.5,4.367013,3.555556
176.0,177.0,176.5,3.862114,4.083333
179.0,180.0,179.5,4.328001,3.818182
