block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw
0.0,5.0,2.5,3.602709,3.454545
5.0,10.0,7.5,3.059098,3.75
10.0,15.0,12.5,3.215263,3.532531
15.0,20.0,17.5,3.735153,3.083891
20.0,25.0,22.5,3.888421,3.5
25.0,30.0,27.5,3.150309,3.153846
30.0,35.0,32.5,2.905547,2.512897
35.0,40.0,37.5,3.877155,3.357539
40.0,45.0,42.5,3.229877,3.497339
45.0,50.0,47.5,4.083452,2.75
50.0,55.0,52.5,3.433192,3.166667
55.0,60.0,57.5,3.967395,3.545455
60.0,65.0,62.5,3.694229,3.818182
65.0,70.0,67.5,3.839577,3.165918
70.0,75.0,72.5,3.615997,2.916667
75.0,80.0,77.5,3.746705,3.461538
80.0,85.0,82.5,3.683418,2.443466
85.0,90.0,87.5,3.905653,3.363636
90.0,95.0,92.5,3.953928,3.125
95.0,100.0,97.5,3.853135,3.123728
100.0,105.0,102.5,3.84222,3.636364
105.0,110.0,107.5,4.021758,2.943686
110.0,115.0,112.5,3.910627,3.6
115.0,120.0,117.5,3.566098,2.563025
120.0,125.0,122.5,3.597412,3.727273
125.0,130.0,127.5,3.338593,3.560519
130.0,135.0,132.5,3.70277,2.7
135.0,140.0,137.5,3.909692,3.659321
140.0,145.0,142.5,3.64982,3.326648
145.0,150.0,147.5,3.620706,2.857143
150.0,155.0,152.5,3.652844,2.707582
155.0,160.0,157.5,4.148449,4.2
160.0,165.0,162.5,3.774283,3.32074
165.0,170.0,167.5,3.765704,3.236732
170.0,175.0,172.5,4.062927,3.818182
175.0,180.0,177.5,3.234982,2.926705
