block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw
0.0,5.0,2.5,4.19171,3.833649
5.0,10.0,7.5,4.245219,3.4
10.0,15.0,12.5,4.121902,3.923077
15.0,20.0,17.5,4.217336,3.6
20.0,25.0,22.5,4.182806,4.0
30.0,35.0,32.5,4.293784,3.941428
35.0,40.0,37.5,4.154177,3.857143
40.0,45.0,42.5,4.474158,4.266667
45.0,50.0,47.5,3.906156,3.666667
50.0,55.0,52.5,3.92131,3.449847
55.0,60.0,57.5,3.961788,3.6
60.0,65.0,62.5,4.220057,3.25
65.0,70.0,67.5,4.126851,3.920268
70.0,75.0,72.5,3.845749,3.537456
75.0,80.0,77.5,4.169865,3.640453
80.0,85.0,82.5,4.554961,3.888889
85.0,90.0,87.5,4.147143,3.764677
95.0,100.0,97.5,4.130895,3.404869
100.0,105.0,102.5,4.24662,3.808966
105.0,110.0,107.5,4.352776,4.0
110.0,115.0,112.5,4.253917,3.545455
115.0,120.0,117.5,4.478387,3.571429
120.0,125.0,122.5,3.958716,3.502604
125.0,130.0,127.5,4.302747,3.5
130.0,135.0,132.5,4.175706,4.384615
135.0,140.0,137.5,4.243895,3.625
140.0,145.0,142.5,4.316156,3.928571
145.0,150.0,147.5,4.247818,3.125
150.0,155.0,152.5,4.163654,3.25
155.0,160.0,157.5,4.208418,3.333333
160.0,165.0,162.5,4.369886,3.461538
165.0,170.0,167.5,4.124992,3.6
170.0,175.0,172.5,4.225793,3.712213
175.0,180.0,177.5,4.00962,3.955596
