block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw
0.0,1.0,0.5,4.147604,2.357143
10.0,11.0,10.5,3.773275,3.0
17.0,18.0,17.5,3.731591,2.428571
23.0,24.0,23.5,3.939673,2.1
27.0,28.0,27.5,4.180357,1.888889
31.0,32.0,31.5,4.218925,3.0
36.0,37.0,36.5,4.097569,2.6
40.0,41.0,40.5,4.151336,2.636364
45.0,46.0,45.5,4.193677,3.5
52.0,53.0,52.5,4.357503,2.444444
54.0,55.0,54.5,4.383512,2.363636
59.0,60.0,59.5,4.184148,2.3
73.0,74.0,73.5,4.076641,3.125
77.0,78.0,77.5,4.147035,3.444444
80.0,81.0,80.5,4.056975,3.4
83.0,84.0,83.5,3.783758,2.545455
85.0,86.0,85.5,3.746745,2.125
89.0,90.0,89.5,4.223671,2.5
93.0,94.0,93.5,4.486198,2.6
94.0,95.0,94.5,3.935078,3.4
100.0,101.0,100.5,4.291845,3.272727
107.0,108.0,107.5,4.211967,3.076923
112.0,113.0,112.5,4.20067,2.333333
120.0,121.0,120.5,3.856952,2.636364
123.0,124.0,123.5,4.443096,2.583333
126.0,127.0,126.5,4.138548,1.875
128.0,129.0,128.5,4.21711,3.75
130.0,131.0,130.5,4.00906,2.5
136.0,137.0,136.5,4.056668,2.454545
146.0,147.0,146.5,4.367897,3.333333
152.0,153.0,152.5,3.376605,2.5
157.0,158.0,157.5,4.036861,2.166667
164.0,165.0,164.5,4.087352,3.0
173.0,174.0,173.5,4.21868,3.0
178.0,179.0,178.5,4.274499,2.5
