system_id,sys78aec
list_path,/net/db/BVCC/main/DATA/sets/test_mos_list.txt
target_seconds,180.0
start_index,0
sys_count,38
packet_len,31
packet_total_s,185.75974999999997

fn,mos_target,path,dur_s
sys78aec-uttf30188b.wav,3.25,/net/db/BVCC/main/DATA/wav/sys78aec-uttf30188b.wav,4.7949375
sys78aec-utt151ad99.wav,4.375,/net/db/BVCC/main/DATA/wav/sys78aec-utt151ad99.wav,1.729875
sys78aec-utt53b5eb6.wav,4.75,/net/db/BVCC/main/DATA/wav/sys78aec-utt53b5eb6.wav,9.5898125
sys78aec-uttcf77e64.wav,4.125,/net/db/BVCC/main/DATA/wav/sys78aec-uttcf77e64.wav,8.8584375
sys78aec-utt60aacbe.wav,4.375,/net/db/BVCC/main/DATA/wav/sys78aec-utt60aacbe.wav,4.93425
sys78aec-utt801cd92.wav,4.375,/net/db/BVCC/main/DATA/wav/sys78aec-utt801cd92.wav,5.1780625
sys78aec-utt6ad1fc7.wav,4.125,/net/db/BVCC/main/DATA/wav/sys78aec-utt6ad1fc7.wav,4.527875
sys78aec-uttb5d570a.wav,4.625,/net/db/BVCC/main/DATA/wav/sys78aec-uttb5d570a.wav,6.4203125
sys78aec-utte8c4dbe.wav,4.75,/net/db/BVCC/main/DATA/wav/sys78aec-utte8c4dbe.wav,1.5093125
sys78aec-uttf5a7b89.wav,4.5,/net/db/BVCC/main/DATA/wav/sys78aec-uttf5a7b89.wav,4.644
sys78aec-uttf215489.wav,4.125,/net/db/BVCC/main/DATA/wav/sys78aec-uttf215489.wav,5.72375
sys78aec-uttbdcf705.wav,3.125,/net/db/BVCC/main/DATA/wav/sys78aec-uttbdcf705.wav,7.430375
sys78aec-uttf987a47.wav,4.25,/net/db/BVCC/main/DATA/wav/sys78aec-uttf987a47.wav,4.7716875
sys78aec-uttc0e1f06.wav,4.125,/net/db/BVCC/main/DATA/wav/sys78aec-uttc0e1f06.wav,9.0558125
sys78aec-utt950543f.wav,4.625,/net/db/BVCC/main/DATA/wav/sys78aec-utt950543f.wav,7.743875
sys78aec-utt8ec55a4.wav,4.375,/net/db/BVCC/main/DATA/wav/sys78aec-utt8ec55a4.wav,9.764
sys78aec-utt4de9b6d.wav,4.5,/net/db/BVCC/main/DATA/wav/sys78aec-utt4de9b6d.wav,4.551125
sys78aec-utt314b399.wav,3.5,/net/db/BVCC/main/DATA/wav/sys78aec-utt314b399.wav,4.922625
sys78aec-utt0a72a69.wav,4.375,/net/db/BVCC/main/DATA/wav/sys78aec-utt0a72a69.wav,6.9311875
sys78aec-utt96b8bf7.wav,4.25,/net/db/BVCC/main/DATA/wav/sys78aec-utt96b8bf7.wav,5.317375
sys78aec-utt31ea303.wav,4.375,/net/db/BVCC/main/DATA/wav/sys78aec-utt31ea303.wav,5.5379375
sys78aec-utt51898a0.wav,4.25,/net/db/BVCC/main/DATA/wav/sys78aec-utt51898a0.wav,8.301125
sys78aec-utt105d3f5.wav,4.5,/net/db/BVCC/main/DATA/wav/sys78aec-utt105d3f5.wav,5.20125
sys78aec-utte584a9c.wav,4.25,/net/db/BVCC/main/DATA/wav/sys78aec-utte584a9c.wav,5.7469375
sys78aec-utte7e7d6c.wav,4.0,/net/db/BVCC/main/DATA/wav/sys78aec-utte7e7d6c.wav,2.728375
sys78aec-utt1675521.wav,4.25,/net/db/BVCC/main/DATA/wav/sys78aec-utt1675521.wav,6.072
sys78aec-utt8d0a04b.wav,4.375,/net/db/BVCC/main/DATA/wav/sys78aec-utt8d0a04b.wav,7.3026875
sys78aec-utt44a9ea1.wav,4.25,/net/db/BVCC/main/DATA/wav/sys78aec-utt44a9ea1.wav,7.8948125
sys78aec-uttc17096d.wav,4.25,/net/db/BVCC/main/DATA/wav/sys78aec-uttc17096d.wav,7.04725
sys78aec-utt4cbf685.wav,4.25,/net/db/BVCC/main/DATA/wav/sys78aec-utt4cbf685.wav,4.435
sys78aec-utt81c6daa.wav,4.25,/net/db/BVCC/main/DATA/wav/sys78aec-utt81c6daa.wav,7.0936875
