system_id,sys83aed
list_path,/net/db/BVCC/main/DATA/sets/test_mos_list.txt
target_seconds,180.0
start_index,0
sys_count,38
packet_len,17
packet_total_s,185.93499999999997

fn,mos_target,path,dur_s
sys83aed-utta133f0a.wav,3.125,/net/db/BVCC/main/DATA/wav/sys83aed-utta133f0a.wav,9.685
sys83aed-utt99821b8.wav,3.625,/net/db/BVCC/main/DATA/wav/sys83aed-utt99821b8.wav,9.87
sys83aed-utt17290c9.wav,3.625,/net/db/BVCC/main/DATA/wav/sys83aed-utt17290c9.wav,4.82
sys83aed-uttc34d946.wav,3.5,/net/db/BVCC/main/DATA/wav/sys83aed-uttc34d946.wav,14.68
sys83aed-utt6edc479.wav,2.875,/net/db/BVCC/main/DATA/wav/sys83aed-utt6edc479.wav,4.365
sys83aed-uttbe76fe6.wav,3.125,/net/db/BVCC/main/DATA/wav/sys83aed-uttbe76fe6.wav,13.265
sys83aed-utt63e152d.wav,2.875,/net/db/BVCC/main/DATA/wav/sys83aed-utt63e152d.wav,13.97
sys83aed-utt94f44ab.wav,3.625,/net/db/BVCC/main/DATA/wav/sys83aed-utt94f44ab.wav,6.89
sys83aed-utt1e7f9e1.wav,3.375,/net/db/BVCC/main/DATA/wav/sys83aed-utt1e7f9e1.wav,10.815
sys83aed-utt3d7906a.wav,2.375,/net/db/BVCC/main/DATA/wav/sys83aed-utt3d7906a.wav,13.155
sys83aed-utt7ca005d.wav,2.875,/net/db/BVCC/main/DATA/wav/sys83aed-utt7ca005d.wav,8.835
sys83aed-utt6efabde.wav,3.25,/net/db/BVCC/main/DATA/wav/sys83aed-utt6efabde.wav,11.41
sys83aed-uttbfed8f1.wav,3.375,/net/db/BVCC/main/DATA/wav/sys83aed-uttbfed8f1.wav,16.26
sys83aed-utta8848a1.wav,3.375,/net/db/BVCC/main/DATA/wav/sys83aed-utta8848a1.wav,12.175
sys83aed-utt3a0e6a7.wav,3.5,/net/db/BVCC/main/DATA/wav/sys83aed-utt3a0e6a7.wav,10.605
sys83aed-utta0b77de.wav,2.875,/net/db/BVCC/main/DATA/wav/sys83aed-utta0b77de.wav,14.785
sys83aed-utt5481a8a.wav,3.5,/net/db/BVCC/main/DATA/wav/sys83aed-utt5481a8a.wav,10.35
