block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw
0.0,5.0,2.5,3.891871,3.1
5.0,10.0,7.5,3.936928,2.727273
10.0,15.0,12.5,4.380673,3.428571
15.0,20.0,17.5,4.046919,2.846154
25.0,30.0,27.5,4.11601,3.7
30.0,35.0,32.5,4.1115,3.003288
35.0,40.0,37.5,4.035344,2.166667
45.0,50.0,47.5,3.890252,2.909091
50.0,55.0,52.5,4.086249,2.777778
60.0,65.0,62.5,4.106882,2.6
65.0,70.0,67.5,4.055541,3.583333
70.0,75.0,72.5,3.887424,2.0
75.0,80.0,77.5,3.589213,2.25
85.0,90.0,87.5,4.150683,2.7
90.0,95.0,92.5,3.882563,2.609106
100.0,105.0,102.5,4.203224,2.6
110.0,115.0,112.5,4.10213,2.790494
120.0,125.0,122.5,4.044044,2.666667
130.0,135.0,132.5,3.5347,2.607607
140.0,145.0,142.5,3.97677,3.416667
145.0,150.0,147.5,4.051651,2.666667
155.0,160.0,157.5,3.944265,3.285714
165.0,170.0,167.5,3.818645,2.615385
170.0,175.0,172.5,3.885978,2.6
